specificity: [0.9770527747170116, 0.017165862171331148]
dice coefficient: [0.8202968770177983, 0.14149627632690387]
hausdorff distance: [9.117431145206405, 7.9585875618156585]

sensitivity: [0.8481545460516081, 0.09728724816058326]
specificity: [0.9936308494986167, 0.0029568429544140416]
dice coefficient: [0.8770946095796314, 0.050818788850258895]
hausdorff distance: [6.217118881896999, 2.46592095203661]

sensitivity: [0.8259761619766833, 0.07626652947620213]
specificity: [0.9908039429767413, 0.002418867042429628]
dice coefficient: [0.867723379991808, 0.046279711896728346]
hausdorff distance: [6.472452253232165, 2.770203692203253]

sensitivity: [0.9084822366206406, 0.058120678737976134]
specificity: [0.9891653546330619, 0.004755748840400704]
dice coefficient: [0.8942850050909854, 0.042389994902336824]
hausdorff distance: [4.8760265377679595, 2.3574771549934352]

sensitivity: [0.8947558460719328, 0.054323435546480385]
specificity: [0.9776747721233605, 0.011378328204361682]
dice coefficient: [0.8782429803629176, 0.05148260720562664]
hausdorff distance: [6.7765774952356015, 3.6621483837222804]

sensitivity: [0.940289902073345, 0.032146861004136225]
specificity: [0.9917771315992632, 0.004436980480167357]
dice coefficient: [0.9144321133259626, 0.022456800795814653]
hausdorff distance: [5.324104891535964, 1.7186934293011142]

sensitivity: [0.9486077773665015, 0.03575995999573053]
specificity: [0.9924353757188807, 0.0019397586683097617]
dice coefficient: [0.9314907165877117, 0.024774671406735567]
hausdorff distance: [2.875418848428709, 1.0794905184550023]

sensitivity: [0.8729492005121693, 0.09132072543087326]
specificity: [0.9909038820776638, 0.005859737309307295]
dice coefficient: [0.8903100426661271, 0.0710378012643467]
hausdorff distance: [6.727589386958787, 4.882575246781097]

sensitivity: [0.7741801082276744, 0.136153171394869]
specificity: [0.9861055557882158, 0.004063686944641534]
dice coefficient: [0.8148195526201009, 0.09201367573189037]
hausdorff distance: [10.037414779854904, 5.460491846328222]

sensitivity: [0.9671026431700113, 0.027347514279811858]
specificity: [0.9928520467775032, 0.0006450601620281609]
dice coefficient: [0.9333599886657002, 0.012858374928344612]
hausdorff distance: [2.355477252871165, 0.7427832195240478]

sensitivity: [0.9284791047510654, 0.037619154264739225]
specificity: [0.9947400487590036, 0.002121078282050605]
dice coefficient: [0.9361332129910461, 0.021374137975421814]
hausdorff distance: [3.960047276452343, 1.9195552179942745]

sensitivity: [0.9295811691541843, 0.040359796760249415]
specificity: [0.9971758644832444, 0.001602841611036804]
dice coefficient: [0.9542562459834641, 0.017527262263803606]
hausdorff distance: [3.1686065248078292, 1.5143533353476597]

sensitivity: [0.9183304870464741, 0.06333469800537551]
specificity: [0.9915633658014098, 0.0038303570629950414]
dice coefficient: [0.9099207615443269, 0.031114884799208712]
hausdorff distance: [4.59136622607579, 1.638909041013939]

sensitivity: [0.9608662006360676, 0.03819390815089782]
specificity: [0.9889789206711439, 0.007173820743202891]
dice coefficient: [0.9261726220955009, 0.04609086324380027]
hausdorff distance: [3.5166889827312047, 2.7506784494139436]

sensitivity: [0.8338640674031887, 0.11094906960542127]
specificity: [0.9941997960237704, 0.00245116303454986]
dice coefficient: [0.8817491801203607, 0.07068429439302969]
hausdorff distance: [8.130560713737779, 5.966069265456428]

sensitivity: [0.9144702250118147, 0.04678409266235858]
