specificity: [0.9876399429617418, 0.00552596131523674]
dice coefficient: [0.8557841608275337, 0.082347699625754]
hausdorff distance: [6.5518734564226735, 3.536422987194452]

sensitivity: [0.5634660948108373, 0.16710127598586436]
specificity: [0.983962466678933, 0.006986033491024009]
dice coefficient: [0.6359632131638873, 0.14539709298778078]
hausdorff distance: [20.65233009686371, 9.783383612202408]

sensitivity: [0.7096193225023946, 0.14628304661529937]
specificity: [0.986672663984627, 0.0067750363256456544]
dice coefficient: [0.7765023148040746, 0.11620460154243126]
hausdorff distance: [10.80870587782802, 6.671222570109572]

sensitivity: [0.7412881977957341, 0.15518697814092244]
specificity: [0.993257911347839, 0.002336426163706406]
dice coefficient: [0.8069169562726793, 0.10697104701927113]
hausdorff distance: [9.414078773696913, 5.4779972778345325]

sensitivity: [0.6580044320638191, 0.18910263275859163]
specificity: [0.9821226273765865, 0.008184190418964846]
dice coefficient: [0.7296356647062691, 0.15100015219229465]
hausdorff distance: [15.373315176302652, 10.192865829755432]

sensitivity: [0.8013601637663506, 0.1273521280937752]
specificity: [0.9946887864215943, 0.0017851852311526592]
dice coefficient: [0.8456669573166289, 0.0668692158858881]
hausdorff distance: [8.870688335316633, 5.342679270835069]

sensitivity: [0.5849868192530394, 0.248688871237305]
specificity: [0.9885084692423362, 0.004200329006315751]
dice coefficient: [0.6546792689612541, 0.211530018923263]
hausdorff distance: [11.609835517778707, 7.346998429072288]

sensitivity: [0.6069363364462474, 0.2633419936728819]
specificity: [0.9942054953617087, 0.005219011465215504]
dice coefficient: [0.6964967968630571, 0.2272808923612166]
hausdorff distance: [21.0499946901217, 27.025871374404343]

sensitivity: [0.6811074901500588, 0.20286486694465725]
specificity: [0.9871260652126632, 0.0032057724100387304]
dice coefficient: [0.7457023977341346, 0.14114847250543272]
hausdorff distance: [13.240171957953493, 7.6831751156117285]

sensitivity: [0.807831234517841, 0.09775110803461255]
specificity: [0.9945612620114462, 0.0013812032558128148]
dice coefficient: [0.8532396517802361, 0.058839155157385685]
hausdorff distance: [9.820230277733794, 5.813468037721872]

sensitivity: [0.7094894720127195, 0.18575260496641266]
specificity: [0.9969091627962146, 0.002404443853682591]
dice coefficient: [0.801851754244711, 0.13682699079553937]
hausdorff distance: [7.580958246994938, 4.8023333277327565]

sensitivity: [0.7721898356418937, 0.1251929533463034]
specificity: [0.9985576754603417, 0.0011266557607689377]
dice coefficient: [0.861113638509884, 0.0765018088062]
hausdorff distance: [10.382742738902556, 6.382161589234449]

sensitivity: [0.6718629953173326, 0.15957461611799864]
specificity: [0.9945750146996303, 0.00303822469901314]
dice coefficient: [0.7662687827725051, 0.12241099127863857]
hausdorff distance: [14.523250332415644, 7.802256070008781]

sensitivity: [0.79129150300528, 0.15028063991313043]
specificity: [0.9925298832216249, 0.0037734710134402633]
dice coefficient: [0.8362385145562939, 0.09309130912858124]
hausdorff distance: [8.449994307538452, 4.986407812166432]

sensitivity: [0.7427614990686301, 0.14619775590401166]
specificity: [0.997984429926014, 0.001256254469792566]
dice coefficient: [0.8358440199061501, 0.099087552419729]
hausdorff distance: [9.177868617204387, 5.674509756681024]

sensitivity: [0.6887275718125306, 0.11992688625262819]
specificity: [0.9984024195917072, 0.0006392322665746494]
dice coefficient: [0.7982227794229464, 0.08582220936158252]
hausdorff distance: [11.222386748471838, 3.8804684855985756]

sensitivity: [0.6757943492514406, 0.20809965924449128]
specificity: [0.9935555590886697, 0.003909537018661806]
dice coefficient: [0.7671068617013616, 0.15413549714982064]
hausdorff distance: [9.961217804649694, 6.127055289043557]

sensitivity: [0.5626381455168021, 0.28905680707185694]
specificity: [0.9955375559575554, 0.0030483149535897557]
dice coefficient: [0.6604979625961666, 0.22917412436262102]
hausdorff distance: [18.79924847652973, 18.803942584407523]

sensitivity: [0.8260429400081155, 0.15352129817939855]
specificity: [0.9973187317383496, 0.0016633164387308602]
dice coefficient: [0.8839364004640241, 0.09649978448016866]
hausdorff distance: [8.650469812446461, 6.450015919149799]

sensitivity: [0.9097588660470138, 0.102923540672101]
specificity: [0.9975244408646177, 0.0027476259647011793]
dice coefficient: [0.9204083369515665, 0.08511933842762558]
hausdorff distance: [2.6079687803262037, 2.316282691622618]

sensitivity: [0.7381434686814947, 0.14364503609220763]
specificity: [0.9914161665319636, 0.002601886140191417]
dice coefficient: [0.8076980659360283, 0.09631190248489839]
hausdorff distance: [11.99894594324889, 7.67845229094538]

sensitivity: [0.7159121679420303, 0.16955533067082812]
specificity: [0.9916821043505318, 0.003287218964174226]
dice coefficient: [0.7924694519875769, 0.108825618433521]
hausdorff distance: [9.380923608538087, 4.837176061585187]

sensitivity: [0.6620370647998879, 0.26871083748422225]
specificity: [0.9711246238924628, 0.017087116814099777]
dice coefficient: [0.6885484633165102, 0.23642103880135676]
hausdorff distance: [13.532555657911189, 9.441218355286704]

sensitivity: [0.6118984417275259, 0.18992037923156233]
specificity: [0.9963215904989453, 0.0018814582092074616]
dice coefficient: [0.7297900059356955, 0.14428940957796646]
hausdorff distance: [12.025336621246527, 5.875764842047414]

sensitivity: [0.7777739238631807, 0.10846745652423789]
specificity: [0.9884951309069897, 0.0024378488688739826]
dice coefficient: [0.8341495245812145, 0.060598386378572275]
hausdorff distance: [9.755381403770231, 4.516547390833024]

sensitivity: [0.9754597341071403, 0.028619183963081628]
specificity: [0.9973342232553061, 0.0011039987387023978]
dice coefficient: [0.9487152726591003, 0.02544658056162016]
hausdorff distance: [1.7347225756440403, 0.7005266487086029]

sensitivity: [0.8078697794488559, 0.14616874904696145]
specificity: [0.9945821914816069, 0.0015783824755293196]
dice coefficient: [0.8607762358413288, 0.089403699665567]
hausdorff distance: [9.014122965639952, 4.695272852595725]

sensitivity: [0.7609272599375569, 0.18083005943391448]
specificity: [0.9985151964705344, 0.0025747832866936595]
dice coefficient: [0.8444722785165301, 0.11341815398611288]
hausdorff distance: [6.8803638491037455, 4.249775676897111]

sensitivity: [0.8325022710654213, 0.08471478674061807]
specificity: [0.9992565247321666, 0.001316733063871184]
