dice coefficient: [0.6856352810628377, 0.2512292930623498]
hausdorff distance: [18.555223570660548, 18.291264169254944]

sensitivity: [0.5210535828681446, 0.336459432585919]
specificity: [0.995807944670568, 0.0019453009298057006]
dice coefficient: [0.5980739887488716, 0.313822500023291]
hausdorff distance: [14.712255979493447, 13.362242476241006]

sensitivity: [0.5566742052938493, 0.2589308185059761]
specificity: [0.9952093333550868, 0.0013531042738483387]
dice coefficient: [0.6628630096450773, 0.21050476281699435]
hausdorff distance: [14.35746722975482, 9.348607815062614]

sensitivity: [0.7680719155779432, 0.1549929227078529]
specificity: [0.9939818983282449, 0.0015105397040377896]
dice coefficient: [0.8269661187801665, 0.09570710625649159]
hausdorff distance: [9.466522075830548, 6.235780607735722]

sensitivity: [0.5835363787140688, 0.27700168941069575]
specificity: [0.9855527745182747, 0.0069355328758589335]
dice coefficient: [0.6600959618771124, 0.22443695960323154]
hausdorff distance: [16.454096670422082, 13.075270657252378]

sensitivity: [0.5409132746985047, 0.24169637921111883]
specificity: [0.9982460658316955, 0.0011328035101013142]
dice coefficient: [0.6590343123566181, 0.19721127499467636]
hausdorff distance: [16.47629513878929, 10.353664335208821]

sensitivity: [0.3473235554192692, 0.3316862639756468]
specificity: [0.9892041722699058, 0.004000496396155222]
dice coefficient: [0.39746780340181687, 0.3207921525997841]
hausdorff distance: [25.56195266431616, 19.702451014715415]

sensitivity: [0.6010424270519025, 0.2811878899087894]
specificity: [0.990338717610966, 0.0053170901548106365]
dice coefficient: [0.6761435326398322, 0.23526252931036826]
hausdorff distance: [16.694868485533433, 13.797875425250899]

sensitivity: [0.5626162682432991, 0.26690012419650366]
specificity: [0.9921411611344343, 0.0020758506733756276]
dice coefficient: [0.6549992446877798, 0.21339633411589012]
hausdorff distance: [17.268756148246055, 11.833148119826241]

sensitivity: [0.732481008065837, 0.19343223132012]
specificity: [0.9969650086615549, 0.0013215195263755388]
dice coefficient: [0.8087082573023746, 0.12601990293800142]
hausdorff distance: [10.061189503358616, 6.3983695145070385]

sensitivity: [0.39598833651451276, 0.33214311268799823]
specificity: [0.992718869062357, 0.006294036787421978]
dice coefficient: [0.46954665248400423, 0.31577199345255713]
hausdorff distance: [26.861943272279348, 21.54149492576702]

sensitivity: [0.7283667503615329, 0.20087184493201146]
specificity: [0.9954535329322087, 0.003595378386354576]
dice coefficient: [0.8129069869345015, 0.13405505769020268]
hausdorff distance: [11.89388211174401, 7.657386519690371]

sensitivity: [0.5346584279662462, 0.2227734142083983]
specificity: [0.9942386241677756, 0.0021828378163677525]
dice coefficient: [0.6431440181378659, 0.18351908366237377]
hausdorff distance: [17.3578016339274, 9.990331447816299]

sensitivity: [0.4329144146064567, 0.2839379480303931]
specificity: [0.994129709801667, 0.002845948312416282]
dice coefficient: [0.5271307508740469, 0.2654353755355063]
hausdorff distance: [16.371912141355086, 9.093614582171567]

sensitivity: [0.7500747828702294, 0.1709917729882967]
specificity: [0.9903305666702524, 0.005951922427860056]
dice coefficient: [0.8107332562018418, 0.12886398498989302]
hausdorff distance: [8.751367859638767, 5.956528120637747]

sensitivity: [0.8053549590435866, 0.10153005706810996]
specificity: [0.9994331273329781, 0.0005523978582745525]
dice coefficient: [0.8842310002730863, 0.05924579275792726]
hausdorff distance: [5.54810800164135, 2.947060275730696]

sensitivity: [0.6375120184097949, 0.2238319204762967]
specificity: [0.9915075907023588, 0.00591512056147342]
dice coefficient: [0.7305389061380304, 0.17977903761785655]
hausdorff distance: [11.56799636384445, 6.406881206386475]

sensitivity: [0.4957309509908994, 0.29706065756690786]
specificity: [0.9973815455274282, 0.0023071577549470144]
dice coefficient: [0.6026311188143137, 0.25100983827500567]
hausdorff distance: [36.88526656706472, 34.0388568689262]

sensitivity: [0.747619040392906, 0.17491320794831844]
specificity: [0.998603021700792, 0.0013124069886725762]
dice coefficient: [0.8371279988317305, 0.11678090748891978]
hausdorff distance: [8.461963996977381, 5.935360026754227]

sensitivity: [0.5134972145987244, 0.24377083567506483]
specificity: [0.9996658825560227, 0.00066134970230493]
dice coefficient: [0.6402389380827939, 0.20345489058618252]
hausdorff distance: [9.731799671142365, 5.977073572751692]

sensitivity: [0.6803808054557425, 0.18408351556035815]
specificity: [0.9968866489926865, 0.0016243247218873966]
dice coefficient: [0.7822400953441011, 0.12671459022689707]
hausdorff distance: [11.419502047466288, 7.152736515109438]

sensitivity: [0.6298546169114725, 0.21407874346846079]
specificity: [0.9905463017877938, 0.00409706314459103]
dice coefficient: [0.7209977581979042, 0.15769150842233617]
hausdorff distance: [12.803462423317798, 7.677109914632966]

sensitivity: [0.4082420980486441, 0.28794011695614313]
specificity: [0.9826540602754326, 0.008543602042076485]
dice coefficient: [0.48529574695270056, 0.2729513862646836]
hausdorff distance: [32.981946020732, 17.68967410719749]

sensitivity: [0.5300405471887907, 0.23102033383468398]
specificity: [0.9972558926317099, 0.0014289299709431096]
dice coefficient: [0.6553555304343229, 0.19052836322388558]
hausdorff distance: [13.65304850141042, 6.584901919148177]

sensitivity: [0.6550056094434813, 0.20481175940832105]
specificity: [0.9869179967759415, 0.003667668561152307]
dice coefficient: [0.7356248470244618, 0.15211156589442923]
hausdorff distance: [16.81298952932976, 11.607040238004165]

sensitivity: [0.8956653157017594, 0.06796850638949462]
specificity: [0.9987187983204394, 0.0007249934756522553]
dice coefficient: [0.9241351229098828, 0.030855099091136116]
hausdorff distance: [2.8377691399010248, 1.2303385612472968]

sensitivity: [0.6834693872411125, 0.21997893623813872]
specificity: [0.995409561156385, 0.0028114340045129215]
dice coefficient: [0.7704605164842551, 0.15780270996766468]
hausdorff distance: [9.835079402470813, 6.573016543446982]

sensitivity: [0.6213056624721252, 0.20831966051611184]
specificity: [0.9998659036830885, 0.0003957718102166618]
dice coefficient: [0.7453263777801364, 0.15890990357652124]
hausdorff distance: [9.9372848748123, 6.086901454502665]

sensitivity: [0.5493553056360008, 0.3242835226296495]
specificity: [0.9958468764179765, 0.004115883048333878]
dice coefficient: [0.625591919676347, 0.28060911583001136]
hausdorff distance: [17.268849247220356, 13.161313726604588]

sensitivity: [0.5831137572384171, 0.18515358553941028]
specificity: [0.9917783960488676, 0.0033377697011037614]
dice coefficient: [0.6824594824775596, 0.1502681521683935]
hausdorff distance: [16.055940447044218, 9.134555801696266]

sensitivity: [0.7066439175723427, 0.1814048538190039]
specificity: [0.9912253566823078, 0.003226892423040269]
dice coefficient: [0.7827810386421693, 0.11709700371589048]
hausdorff distance: [10.631494058073228, 6.1485500263466175]

sensitivity: [0.9378919585212675, 0.064828871687365]
specificity: [0.9975353674142201, 0.0015330139172703512]
dice coefficient: [0.9412268333111594, 0.02991815166450194]
hausdorff distance: [2.92513482253907, 1.9175295573478544]

sensitivity: [0.5556820860916046, 0.22526242287850462]
specificity: [0.9656556192508183, 0.014049161791554422]
dice coefficient: [0.5935045849344297, 0.19281983503074865]
hausdorff distance: [29.14838183755264, 17.915686876372646]

sensitivity: [0.6465583014289727, 0.24727347829815433]
specificity: [0.9893212541414097, 0.0033554518596475235]
dice coefficient: [0.7290691456362766, 0.18389937982252863]
hausdorff distance: [12.165437716638587, 8.128271146391093]

sensitivity: [0.6692843090421744, 0.20430871333373132]
specificity: [0.9897884625146276, 0.003244676423341695]
dice coefficient: [0.7460911819610888, 0.14947070151398054]
hausdorff distance: [13.507558499642816, 8.253031566969426]

sensitivity: [0.7266150956893733, 0.17561819117006788]
specificity: [0.9947655457790251, 0.0022710260429250713]
dice coefficient: [0.7999600432897876, 0.1190008372109413]
hausdorff distance: [11.682537986695587, 8.325761598161133]

sensitivity: [0.5120798433660763, 0.24145201699237778]
specificity: [0.9841354596730353, 0.006916382822276875]
dice coefficient: [0.5756096868732876, 0.18398470682205628]
hausdorff distance: [31.753585195332978, 21.501391286210534]

sensitivity: [0.5496252989598555, 0.2348211767888551]
specificity: [0.9952948124064859, 0.0026510497855773913]
dice coefficient: [0.6572297858297861, 0.17789232182216252]
hausdorff distance: [26.996480705943167, 14.99077592478026]

sensitivity: [0.5217410320281741, 0.29962103377481697]
specificity: [0.9920895629827491, 0.005508422086360824]
dice coefficient: [0.6077752979634873, 0.23907607508702172]
hausdorff distance: [34.94140400932706, 32.828822994288366]

sensitivity: [0.37660868404595493, 0.3783530130749754]
specificity: [0.991547581836756, 0.003164046358809264]
dice coefficient: [0.41203021031635745, 0.37561952005873095]
hausdorff distance: [23.72835504233842, 16.50247962129932]

sensitivity: [0.5530830543976736, 0.2517593850044801]
specificity: [0.9927042345698162, 0.0037903989302742725]
dice coefficient: [0.6559278694594242, 0.21754909201717784]
hausdorff distance: [14.985187791729365, 8.68777763181923]

sensitivity: [0.5832809615436251, 0.22710904255833542]
