specificity: [0.9761576281052672, 0.018884154400139515]
dice coefficient: [0.809311800150028, 0.1422202720052523]
hausdorff distance: [10.307511060064645, 8.057411644772264]

sensitivity: [0.6614650698423234, 0.17442095716190123]
specificity: [0.9987141682686796, 0.0010120954020862226]
dice coefficient: [0.7747827524143495, 0.12200000489874073]
hausdorff distance: [7.033490470981065, 3.161752435167119]

sensitivity: [0.5871852849968265, 0.2417258387834115]
specificity: [0.9898015578625465, 0.004820193944689741]
dice coefficient: [0.6771880747065102, 0.19045762589193022]
hausdorff distance: [22.939820593804704, 16.033235204538528]

sensitivity: [0.7807857438764044, 0.14722954292816628]
specificity: [0.9920490035316755, 0.001457456026960921]
dice coefficient: [0.8262434567846481, 0.08977500424599492]
hausdorff distance: [12.463484071730717, 9.010821168298037]

sensitivity: [0.6941665181417747, 0.20801576624038615]
specificity: [0.9749320271362323, 0.014184506066744769]
dice coefficient: [0.7371370767709072, 0.17172841581520346]
hausdorff distance: [19.12826778804801, 16.566312346507843]

sensitivity: [0.6349156813041652, 0.14363100961451455]
specificity: [0.9960528256334894, 0.002583706850311603]
dice coefficient: [0.7426795922560785, 0.11922471504949565]
hausdorff distance: [8.830055434263448, 4.073915523731584]

sensitivity: [0.5978666800628257, 0.22364294691829337]
specificity: [0.9950963295232871, 0.0023396897138538626]
dice coefficient: [0.6977460302383791, 0.17216334889844603]
hausdorff distance: [15.549445303432464, 15.508537995425685]

sensitivity: [0.7165859672667757, 0.23814592812937385]
specificity: [0.9917886861413435, 0.0067144034529378165]
dice coefficient: [0.7798757147254863, 0.19292152332100634]
hausdorff distance: [13.067840895985674, 13.624666392877456]

sensitivity: [0.6853558290751377, 0.16283354527198446]
specificity: [0.9879231028679063, 0.00281491792174273]
dice coefficient: [0.7585533612529578, 0.11435132703490164]
hausdorff distance: [17.004303647343093, 11.665632893344783]

sensitivity: [0.8581828515883303, 0.08538138444730686]
specificity: [0.9943277113987619, 0.0014216979507193903]
dice coefficient: [0.8819406089918937, 0.04645423368746392]
hausdorff distance: [6.247332757706448, 3.455068752015599]

sensitivity: [0.7202775780303069, 0.1631301334628497]
specificity: [0.9968403144081197, 0.001976792083841262]
dice coefficient: [0.8121224484276631, 0.12076682379332582]
hausdorff distance: [8.453129847704258, 5.361398677383674]

