specificity: [0.9880432570741438, 0.004900692104346869]
dice coefficient: [0.895528527446651, 0.05050011826615947]
hausdorff distance: [5.45758917526077, 2.912282105281549]

sensitivity: [0.704219519084828, 0.19183634825184506]
specificity: [0.9955045153092971, 0.003357438257384518]
dice coefficient: [0.7830447274280785, 0.13241255296412702]
hausdorff distance: [23.066349741814623, 29.627861486360356]

sensitivity: [0.8398031351505726, 0.09410176394774715]
specificity: [0.9898451687553755, 0.002782808275261446]
dice coefficient: [0.872088817819915, 0.05992192319357095]
hausdorff distance: [11.61331975729959, 7.9034256843503226]

sensitivity: [0.8362528815262639, 0.1124183802467398]
specificity: [0.9920339887199028, 0.002063218654965255]
dice coefficient: [0.8634944200173899, 0.06740614872261776]
hausdorff distance: [8.444279277027002, 6.2711626374146645]

sensitivity: [0.7978646728656269, 0.0977672853753876]
specificity: [0.9913943900455913, 0.004714100367744414]
dice coefficient: [0.8585445651703442, 0.07107077817675676]
hausdorff distance: [9.174495636203314, 4.781418529539085]

sensitivity: [0.5783207102845566, 0.18430728049621894]
specificity: [0.9931138567703943, 0.003684537454704531]
dice coefficient: [0.6759191851106277, 0.16222587752366927]
hausdorff distance: [14.639244702063252, 7.020862806885843]

sensitivity: [0.6128433438638559, 0.22966201524914812]
specificity: [0.9899223451936119, 0.00498481089669907]
dice coefficient: [0.6873682365221087, 0.2053914354335816]
hausdorff distance: [12.351680824853334, 7.454482821382296]

sensitivity: [0.8880731432238238, 0.07342483264915606]
specificity: [0.9879747678549573, 0.006066149091355138]
dice coefficient: [0.8870740913475914, 0.05957839148458818]
hausdorff distance: [8.563601590068668, 5.440410015789866]

sensitivity: [0.8176316135151199, 0.12024924735882123]
specificity: [0.987393089693557, 0.0030972686242979304]
dice coefficient: [0.8470354903838583, 0.07720106594853256]
hausdorff distance: [10.121599915886543, 6.917601834648011]

sensitivity: [0.7771878310215298, 0.1309878819288657]
specificity: [0.9918437740433337, 0.0014593567643092845]
dice coefficient: [0.8146739891236012, 0.07945769736179757]
hausdorff distance: [8.577012182743395, 4.902536284115744]

sensitivity: [0.8394913991614721, 0.12097780758764866]
specificity: [0.9927184618320241, 0.0021192389154120425]
dice coefficient: [0.8725939506944144, 0.07276577843202008]
hausdorff distance: [5.5305967531651525, 2.8482449954101687]

sensitivity: [0.8734317637607355, 0.0937177396512035]
specificity: [0.9973281589670859, 0.0009824396148676593]
dice coefficient: [0.9214304264187198, 0.05075816765656916]
hausdorff distance: [6.645907796596757, 5.176734127401282]

sensitivity: [0.7569570334382519, 0.1318744326329058]
specificity: [0.9946715576697047, 0.002175547047705737]
dice coefficient: [0.8257548372438932, 0.08255016047677223]
hausdorff distance: [8.962886714395912, 4.5460600243403375]

sensitivity: [0.7136131343637331, 0.17799548687815564]
specificity: [0.9928672294948543, 0.005179763176514897]
dice coefficient: [0.78607683190782, 0.14968888778914677]
hausdorff distance: [11.353031291592629, 6.264344644530019]

sensitivity: [0.849016551132873, 0.10575130495755639]
specificity: [0.991860924156813, 0.00414921289956527]
dice coefficient: [0.8827935804913296, 0.07016173606402404]
hausdorff distance: [6.489891255186929, 4.072015655157557]

sensitivity: [0.9499210454005927, 0.033168294527985184]
specificity: [0.9974579990664932, 0.0007823680552717819]
dice coefficient: [0.9552159259770974, 0.014921122896768352]
hausdorff distance: [2.9931694108759737, 1.2679130666031635]

sensitivity: [0.7492575272630276, 0.17733831376965564]
specificity: [0.994499517592531, 0.0021715971702428506]
dice coefficient: [0.825145926457797, 0.11857395256231917]
hausdorff distance: [11.76989418699342, 9.136169373811898]

sensitivity: [0.9252263213932159, 0.06411835110455011]
specificity: [0.9899236365941372, 0.0014881054254530948]
dice coefficient: [0.926080013627801, 0.03468284062850474]
hausdorff distance: [5.5201385813541926, 3.208541212032592]

sensitivity: [0.7892303031205635, 0.12378406453039756]
specificity: [0.9983486534402909, 0.0024273904288347413]
dice coefficient: [0.8682989748554265, 0.06895500972841839]
hausdorff distance: [6.234263244007133, 2.695792116939842]

sensitivity: [0.3831555487121162, 0.3652277637814043]
specificity: [0.9996976098346053, 0.0005546579635803071]
dice coefficient: [0.4485302203599201, 0.3817633474900909]
hausdorff distance: [8.431751208815546, 5.904062373063017]

sensitivity: [0.8039776968031211, 0.099504236926232]
specificity: [0.9934040611920633, 0.0012268492751459806]
dice coefficient: [0.8602662865649606, 0.055561627549387295]
hausdorff distance: [9.208582802941544, 5.680551859461891]

sensitivity: [0.6226234698531828, 0.17750775002206443]
specificity: [0.9976431732790869, 0.0019203855153873363]
dice coefficient: [0.7446422771956206, 0.13619358648448404]
hausdorff distance: [12.644194523440945, 7.4357925952821375]

sensitivity: [0.822838238662179, 0.11461812788944839]
specificity: [0.9774473969220137, 0.013272716982754567]
dice coefficient: [0.8283211005719366, 0.09944666755809457]
hausdorff distance: [8.994978257144195, 5.337636757358369]

sensitivity: [0.702674911056656, 0.2174309121011566]
specificity: [0.9963877853339391, 0.0022319888255553704]
dice coefficient: [0.7925227077059633, 0.15850191381857778]
hausdorff distance: [10.052560633421319, 6.591359852973281]

sensitivity: [0.7833018073595944, 0.11729205454443385]
specificity: [0.9832846732343222, 0.005548178049530908]
dice coefficient: [0.8236893383673451, 0.08132610575613312]
hausdorff distance: [9.41865485126769, 5.377943298885269]

sensitivity: [0.9842752971382218, 0.03087709695464001]
specificity: [0.9954940691126867, 0.0010723086159631185]
dice coefficient: [0.9299052868448914, 0.02899587094358263]
hausdorff distance: [1.9764575463484073, 0.7485200292237327]

sensitivity: [0.8333756334080652, 0.1279508568206166]
specificity: [0.9957409874504372, 0.00211865249106828]
dice coefficient: [0.8839861024603074, 0.07847383254368637]
hausdorff distance: [6.0330589288145084, 3.9499620202543144]

sensitivity: [0.5601358668598152, 0.23574154180116785]
specificity: [0.9994691079276803, 0.001300656638506284]
dice coefficient: [0.6872429867650929, 0.18476696700544562]
hausdorff distance: [10.506154141571942, 5.405619775153516]

sensitivity: [0.7567509304539002, 0.14353507392559403]
specificity: [0.9991905252958256, 0.00030922205609249117]
dice coefficient: [0.8469984373990038, 0.0921826573538645]
hausdorff distance: [8.530658791271495, 6.329391275646947]

sensitivity: [0.772420038319958, 0.12593838502390783]
specificity: [0.9861184737641118, 0.0049079505853866605]
dice coefficient: [0.7974090798173729, 0.08602069741440271]
hausdorff distance: [12.39784684783359, 6.005002931250695]

sensitivity: [0.5827594234321328, 0.22459278669253413]
specificity: [0.9796160238515935, 0.003711319309087394]
dice coefficient: [0.6480306653934301, 0.16951383574528184]
hausdorff distance: [14.700004666286278, 7.9839336260076115]

sensitivity: [0.982770430099982, 0.024540861125918592]
specificity: [0.995798720357571, 0.0012406186898854235]
dice coefficient: [0.9503100506610821, 0.021081285896753562]
hausdorff distance: [1.9456302795381768, 0.6174054437813632]

sensitivity: [0.9866852881544612, 0.014196667125652986]
specificity: [0.9895645099522011, 0.0026693662484583115]
dice coefficient: [0.9515819116621065, 0.013847205285853259]
hausdorff distance: [4.4759248415607, 4.078328515380595]

sensitivity: [0.855578400205337, 0.099473616327174]
specificity: [0.9899541011272203, 0.0019103216188539084]
dice coefficient: [0.8901598530484686, 0.051564247705617065]
hausdorff distance: [6.625048034253749, 3.337974217570272]

sensitivity: [0.888059725465887, 0.08688753568264278]
specificity: [0.9835206269557392, 0.005838384057506505]
dice coefficient: [0.8743836606632077, 0.061521517073394094]
hausdorff distance: [9.298575785908437, 6.7084390897125985]

sensitivity: [0.9235821868316232, 0.04288729615464543]
specificity: [0.993932825965014, 0.0012864227198362186]
dice coefficient: [0.9237500030787282, 0.02339287403163938]
hausdorff distance: [5.290688257056217, 2.87087984770885]

sensitivity: [0.5582819239856451, 0.1993830605364076]
specificity: [0.9883695106887104, 0.005487173394867156]
dice coefficient: [0.6416674293889926, 0.15003979674177947]
hausdorff distance: [29.6580906280219, 18.215313895182796]

sensitivity: [0.8061758257321102, 0.11877027664314156]
specificity: [0.9927685482532967, 0.0032121290844757087]
dice coefficient: [0.848102600631671, 0.06450993443832126]
hausdorff distance: [13.217649226053569, 8.654117455697342]

sensitivity: [0.523980001711944, 0.2682140000617809]
specificity: [0.9790232645898449, 0.008111150342547044]
dice coefficient: [0.5885954667710106, 0.2043569275603085]
hausdorff distance: [18.756141553767804, 9.854296221193296]

sensitivity: [0.766429443443106, 0.14138754477399215]
specificity: [0.9922464619597482, 0.0023919673078141397]
dice coefficient: [0.8138886706130238, 0.0950056851505865]
hausdorff distance: [13.102246491441056, 9.355807655008762]

sensitivity: [0.833071045973446, 0.11495424362158325]
specificity: [0.9899650560250811, 0.005309019955375918]
dice coefficient: [0.8674965768693023, 0.08030285191801474]
hausdorff distance: [6.399941093331836, 3.61119841629929]

sensitivity: [0.8733889853102491, 0.10278739338305179]
specificity: [0.9927576501523249, 0.0012582789107370618]
dice coefficient: [0.88190743095615, 0.05876058105095142]
hausdorff distance: [5.455898006438294, 3.5636839941287333]

sensitivity: [0.8763827378102319, 0.08014337753012811]
specificity: [0.9902188059542161, 0.0025609784096928463]
dice coefficient: [0.8702199849812284, 0.05188970458968526]
hausdorff distance: [6.854051542135404, 4.189905821266706]

sensitivity: [0.8081061102921056, 0.09878639548385829]
specificity: [0.9943545073017822, 0.0024511839286923505]
dice coefficient: [0.8635816775736941, 0.06439531447645508]
hausdorff distance: [6.018943943833931, 3.733494404395365]

sensitivity: [0.8037829685570622, 0.13151694130254987]
specificity: [0.9820848876335462, 0.010525114793554361]
dice coefficient: [0.8067669921256516, 0.10979773043759414]
hausdorff distance: [10.970241770653853, 5.427135109189878]

sensitivity: [0.7867730680023496, 0.18760136557758733]
specificity: [0.9764837108214052, 0.013623095677257379]
dice coefficient: [0.769656386687961, 0.15943014280612755]
hausdorff distance: [15.269784125160504, 13.265256352755857]

sensitivity: [0.8550917666924243, 0.10648425937508958]
specificity: [0.9962988413624169, 0.001893446470950102]
dice coefficient: [0.8935503288783563, 0.057250615695744904]
hausdorff distance: [4.2120475844693726, 2.4950594808205255]

sensitivity: [0.856868656299624, 0.08421781013531623]
specificity: [0.9682574043517514, 0.015174970024875334]
dice coefficient: [0.826083216801823, 0.07464749598777563]
hausdorff distance: [11.847302641107156, 6.656431986934299]

sensitivity: [0.5246631420924286, 0.32513860920109194]
specificity: [0.9987383565917821, 0.0018977907711891372]
dice coefficient: [0.61217770796576, 0.2809701417407696]
hausdorff distance: [9.53734042510092, 6.447671746380173]

sensitivity: [0.8446845133291319, 0.07053731237171482]
specificity: [0.9974480733616781, 0.0015213337682026134]
dice coefficient: [0.8954158684630317, 0.03771348028187456]
hausdorff distance: [4.9580413817105855, 2.0374393219378866]

sensitivity: [0.821983039630506, 0.11526141313924329]
specificity: [0.9874463755861822, 0.003932270932198752]
dice coefficient: [0.8476398612399197, 0.07419216832314407]
hausdorff distance: [7.7757319739863195, 3.9121169378475247]

sensitivity: [0.7541215785487864, 0.16664285205045598]
specificity: [0.9920158205813081, 0.001955268670441873]
dice coefficient: [0.8190016066798886, 0.10030956106840569]
hausdorff distance: [8.778067088480272, 4.971137179439544]

sensitivity: [0.7169443169911112, 0.16273871634983855]
specificity: [0.9825541291759784, 0.005195412000825579]
dice coefficient: [0.7834301109943653, 0.11322138205860478]
hausdorff distance: [10.476054888114707, 4.938178542189549]

sensitivity: [0.8074429976652449, 0.11750682137363344]
specificity: [0.9957504594381751, 0.0023378288960012924]
dice coefficient: [0.8728886383996858, 0.06465393019307189]
hausdorff distance: [10.275919069202763, 5.822841856275598]

sensitivity: [0.8923256848551154, 0.07855669660511802]
specificity: [0.995445621215602, 0.0026334683795781865]
dice coefficient: [0.9152130589047373, 0.03240393495141689]
hausdorff distance: [6.369785433351011, 3.8849067169928224]

sensitivity: [0.8014468934385925, 0.1441147689188286]
specificity: [0.9931003537244945, 0.0045715883372756255]
dice coefficient: [0.8510115090388802, 0.11614302456043084]
hausdorff distance: [5.912219165233547, 4.079909869377648]

sensitivity: [0.9419548032025011, 0.05273352056931629]
specificity: [0.9662624659077238, 0.021546231192569806]
dice coefficient: [0.8582266175414531, 0.05278011661236947]
hausdorff distance: [8.559262709740322, 4.160010640889687]

sensitivity: [0.5160704718797804, 0.245481728567007]
specificity: [0.9964731956333956, 0.0021377076034347796]
dice coefficient: [0.5755073043278224, 0.17224812692878175]
hausdorff distance: [11.843078000672127, 6.7410313357820755]

sensitivity: [0.8069980686897591, 0.11735943104728455]
specificity: [0.9923989815016238, 0.004099765183500201]
dice coefficient: [0.8529793586580295, 0.06519613895648164]
hausdorff distance: [8.607244151885244, 4.447697693920301]

sensitivity: [0.9925556259387277, 0.011402095092774211]
specificity: [0.995648603462259, 0.001224503412121338]
