dice coefficient: [0.5460285444178479, 0.32911491797076203]
hausdorff distance: [18.655114829514883, 13.274789039037389]

sensitivity: [0.46295003726238254, 0.2890897887605536]
specificity: [0.9930040676524179, 0.004924029948480984]
dice coefficient: [0.5510918228947462, 0.24950836715083116]
hausdorff distance: [24.00099009587906, 13.608299223299312]

sensitivity: [0.422948655167197, 0.29830913269210024]
specificity: [0.9941614897459227, 0.0016216868487862954]
dice coefficient: [0.5192591918915724, 0.28409705991547574]
hausdorff distance: [25.34596533468715, 16.55240288456142]

sensitivity: [0.5635484804652868, 0.2777729741647333]
specificity: [0.9963905582858136, 0.0013264970360727525]
dice coefficient: [0.6613612929647172, 0.2195298888013511]
hausdorff distance: [14.558024720046365, 10.152040004379367]

sensitivity: [0.4068083472743553, 0.3083884771851552]
specificity: [0.9902318207887093, 0.0034714288648508285]
dice coefficient: [0.4923937320002059, 0.294243338141732]
hausdorff distance: [23.185148068223864, 16.043136924799605]

sensitivity: [0.47731969157303894, 0.3093441678185935]
specificity: [0.9975077445321998, 0.0012331627628802445]
dice coefficient: [0.5734696667841198, 0.2757090507082154]
hausdorff distance: [20.94952085458471, 17.29790669310366]

sensitivity: [0.32390456331913536, 0.27962560348797805]
specificity: [0.9959832135319208, 0.003075664968253016]
dice coefficient: [0.4129427111150682, 0.28075217866335583]
hausdorff distance: [22.380961251025578, 14.837763987432819]

sensitivity: [0.3331741317150781, 0.34331857195198506]
specificity: [0.9929508383007508, 0.006438993138912867]
dice coefficient: [0.39262081520337955, 0.362334890917734]
hausdorff distance: [33.96124959542, 27.223767665728875]

sensitivity: [0.5415988355232547, 0.24631634256341028]
specificity: [0.9933825900543458, 0.00177633389758242]
dice coefficient: [0.6471561153071966, 0.19375210957290148]
hausdorff distance: [18.63245384331653, 10.779532941799737]

sensitivity: [0.6551249552120808, 0.17119512321508473]
specificity: [0.9940699092493495, 0.002694779238331758]
dice coefficient: [0.7423820502779638, 0.1209228977313645]
hausdorff distance: [12.647800392970186, 7.659404582140611]

sensitivity: [0.5259448933537798, 0.2931556190680908]
specificity: [0.9982808232432631, 0.0008881408947554237]
dice coefficient: [0.6315853931051809, 0.2545042872044908]
hausdorff distance: [13.01585900398671, 8.47471225008091]

sensitivity: [0.5063133079870847, 0.21438881699044265]
specificity: [0.9991886762719754, 0.0013514894884234397]
dice coefficient: [0.6434781373212716, 0.18096631834902685]
hausdorff distance: [17.70669599993606, 9.397140527797903]

sensitivity: [0.3390448493845683, 0.29622028934097955]
specificity: [0.9960056428453166, 0.00351801429038086]
dice coefficient: [0.42297338530164746, 0.29941391101662207]
hausdorff distance: [21.607482987318193, 16.244486622218055]

sensitivity: [0.37459363758887787, 0.2508250376050758]
specificity: [0.989363337019602, 0.005046176238993441]
dice coefficient: [0.4673436650509989, 0.23138898732845728]
hausdorff distance: [26.766387889717812, 18.15471874391066]

sensitivity: [0.4442009796123127, 0.3329663629979225]
specificity: [0.9942835252083895, 0.0027121028957214125]
dice coefficient: [0.5266853622485433, 0.3240462174975975]
hausdorff distance: [17.941519313106184, 13.906900615789192]

sensitivity: [0.7186153434857141, 0.2020960199152421]
specificity: [0.9993207177583715, 0.0009384541678151519]
dice coefficient: [0.8138054044962295, 0.1393751864465864]
hausdorff distance: [7.409263139432895, 5.161022482413184]

sensitivity: [0.4985804598391824, 0.2990828059557635]
specificity: [0.9963259747372327, 0.002470829991307964]
dice coefficient: [0.6014974624999726, 0.27029243199211644]
hausdorff distance: [14.570978310929428, 8.462855569827331]

sensitivity: [0.357847747559087, 0.3163091878950609]
specificity: [0.9970057867188351, 0.0015992238116375828]
dice coefficient: [0.44340991486728504, 0.3203608888805725]
hausdorff distance: [35.07803678072446, 20.47351139749787]

sensitivity: [0.5773955547045906, 0.2535424812638503]
specificity: [0.9986506961469951, 0.0013248456281401255]
dice coefficient: [0.6942914757869898, 0.2030419133440998]
hausdorff distance: [12.78357641780108, 8.015412692862846]

sensitivity: [0.3490220408785818, 0.34854335042540757]
specificity: [0.9986329959599396, 0.0011891882667540029]
dice coefficient: [0.412496450573119, 0.36894361703644823]
hausdorff distance: [21.17010145788604, 18.0090756082263]

sensitivity: [0.4780279562305066, 0.25678022520317245]
specificity: [0.9987100541900195, 0.0009203168978109081]
dice coefficient: [0.6025199270006091, 0.22539825204753627]
hausdorff distance: [17.48145157305066, 10.874995060493188]

sensitivity: [0.3722758055448539, 0.2207471320340657]
specificity: [0.9976962873803795, 0.0015627209081514818]
dice coefficient: [0.5011686491135068, 0.2089891965619954]
hausdorff distance: [16.362117348757128, 6.538178839108611]

sensitivity: [0.4098899588382002, 0.335000426264351]
specificity: [0.9807161110533954, 0.010787928876601932]
dice coefficient: [0.4711997669006813, 0.33300334263424214]
hausdorff distance: [24.211212236960467, 16.016154407873817]

sensitivity: [0.4096094752395122, 0.27324333835126074]
specificity: [0.9971960404301884, 0.002754831005891779]
dice coefficient: [0.5239858890057679, 0.2679306503446302]
hausdorff distance: [16.509630594906376, 9.04610952950114]

sensitivity: [0.4556568545379328, 0.27441456365022093]
specificity: [0.9880501466110372, 0.003555687536282783]
dice coefficient: [0.5513029286611774, 0.24913038486911662]
hausdorff distance: [21.428426640923668, 13.726708698539237]

sensitivity: [0.6120794044282583, 0.21354229030193986]
specificity: [0.9990096517647135, 0.0012644335264907732]
dice coefficient: [0.7233897627226729, 0.15068999085276508]
hausdorff distance: [8.480760525890027, 5.308173028689395]

sensitivity: [0.5641829967548283, 0.22338348143872094]
specificity: [0.9974897648347271, 0.001081428637923526]
dice coefficient: [0.6845120219337834, 0.1850913830755475]
hausdorff distance: [13.757624976122088, 7.604456260402957]

sensitivity: [0.5426347431652214, 0.29513225016103006]
specificity: [0.9989896208199461, 0.0019977431640983497]
dice coefficient: [0.6512668759279113, 0.2417497446725989]
hausdorff distance: [12.549537791349533, 7.778759619855206]

sensitivity: [0.5576901553055339, 0.22658759754624436]
specificity: [0.9991079642919787, 0.0012651758792605423]
dice coefficient: [0.682816104654417, 0.19032055771241738]
hausdorff distance: [16.124629491514344, 10.816483890867028]

sensitivity: [0.4886625937649233, 0.2653516123825866]
specificity: [0.9925857694511055, 0.002625850281802147]
dice coefficient: [0.5829753569420133, 0.23155142250286154]
hausdorff distance: [18.717301803970965, 12.385311724474214]

sensitivity: [0.46501893361548385, 0.2475345360719726]
specificity: [0.996656713455574, 0.0017929081055452233]
dice coefficient: [0.5871642035424541, 0.22052219184416127]
hausdorff distance: [19.57964757069629, 10.499400030826852]

sensitivity: [0.9507226841633363, 0.05166350049025559]
specificity: [0.9972391080862366, 0.0017633495001595002]
dice coefficient: [0.9455669502456209, 0.023361354057873464]
hausdorff distance: [2.221129513744255, 0.6830693106663531]

sensitivity: [0.3956403175892779, 0.29820109824512736]
specificity: [0.9761016886474132, 0.010222677344030075]
dice coefficient: [0.4553491705739311, 0.2923299616148739]
hausdorff distance: [29.373921529658116, 16.290265006115987]

sensitivity: [0.5742181709278043, 0.2725742548015503]
specificity: [0.9937079468294191, 0.004297527848149907]
dice coefficient: [0.6733362325459463, 0.2166806484039063]
hausdorff distance: [11.808151721232763, 6.337787699848248]

sensitivity: [0.6119810931759768, 0.23671444702986422]
specificity: [0.9956501514832415, 0.0027618255148720914]
dice coefficient: [0.7159289501157502, 0.1784385004145303]
hausdorff distance: [12.492210611882594, 7.116507150868875]

sensitivity: [0.5529776158415844, 0.27371553347756117]
specificity: [0.9946796537222358, 0.003381661734461672]
dice coefficient: [0.6472880611856513, 0.2369834350659014]
hausdorff distance: [21.4090950761955, 18.106646514979563]

sensitivity: [0.3222341708358423, 0.32038537999777444]
specificity: [0.9888602005908924, 0.005696515280112497]
dice coefficient: [0.377597361030961, 0.3061409451984552]
hausdorff distance: [27.830791868474027, 18.349759961382244]

sensitivity: [0.5809516442152272, 0.2501224634500887]
specificity: [0.995796140358869, 0.0031767844968667437]
dice coefficient: [0.6795888626363129, 0.18422971061713855]
hausdorff distance: [16.658103665608014, 8.952145865611783]

sensitivity: [0.44774239356879153, 0.3237631149094052]
specificity: [0.9939668807272732, 0.0035473114988281308]
dice coefficient: [0.5290802289491873, 0.3009145212299613]
hausdorff distance: [17.666185188663498, 9.21986447188061]

sensitivity: [0.3488693296172631, 0.3455081280365542]
specificity: [0.9889078097402403, 0.004392620382925991]
dice coefficient: [0.3952014830983948, 0.35462720669335446]
hausdorff distance: [23.982683734112427, 14.842423911753967]

sensitivity: [0.6360577061426457, 0.2906505581758416]
specificity: [0.9888880583229986, 0.00765495955652766]
dice coefficient: [0.7026844415793179, 0.25324426586349175]
hausdorff distance: [12.100499223408747, 10.219813364780737]

sensitivity: [0.5846987876745795, 0.24952082511023352]
specificity: [0.9959351032016325, 0.0014933954355223732]
dice coefficient: [0.6813747020110215, 0.1897211782589495]
hausdorff distance: [12.91858064637888, 8.309248306335439]

sensitivity: [0.5356445167183689, 0.2533652190467303]
specificity: [0.9963661553047759, 0.0022891411759305797]
dice coefficient: [0.6402418087698519, 0.2020768256559592]
hausdorff distance: [13.888651838880829, 9.070392315937543]

sensitivity: [0.5303273495911888, 0.24290997413782708]
specificity: [0.9965673266411244, 0.003393967864816162]
dice coefficient: [0.6476180107492835, 0.2135959781481302]
hausdorff distance: [15.074722065571352, 11.732551071517916]

sensitivity: [0.474341177047062, 0.2840126034045173]
specificity: [0.9950341357241793, 0.0018535717864615628]
dice coefficient: [0.5736732586039733, 0.2627863277534889]
hausdorff distance: [21.38111757786357, 14.55613769016035]

sensitivity: [0.28318241572651076, 0.27864336789876604]
specificity: [0.987611990116307, 0.004998602209648501]
dice coefficient: [0.3499689884408966, 0.28171172592081023]
hausdorff distance: [27.348422169852704, 15.670475577324044]

sensitivity: [0.5790754292085584, 0.20486538502562973]
specificity: [0.9959777156106309, 0.002565385296995402]
dice coefficient: [0.6918241662255659, 0.17034259157939863]
hausdorff distance: [16.516356981563856, 10.633749043691669]

sensitivity: [0.33453200397934535, 0.25359267090584864]
specificity: [0.9826689435347673, 0.008724058195637461]
dice coefficient: [0.4167909226258881, 0.23911854780785202]
hausdorff distance: [35.850798442497094, 20.394940165854408]

sensitivity: [0.3910745400713479, 0.3334801597960881]
specificity: [0.9991913338733134, 0.0016553944689369228]
dice coefficient: [0.4739700257756509, 0.32449801703942993]
hausdorff distance: [14.46802659226569, 9.399088955433896]

sensitivity: [0.6312316002401472, 0.16872780396241596]
specificity: [0.9971997483737208, 0.002736844020932497]
dice coefficient: [0.7397896737849531, 0.11426601998981288]
hausdorff distance: [12.103642349142145, 5.555943533795094]

sensitivity: [0.4735637625704102, 0.24338655039550436]
specificity: [0.9915904543490935, 0.004062385892782129]
dice coefficient: [0.583232842217734, 0.21059470772705818]
hausdorff distance: [24.38985221015241, 13.32923262983497]

sensitivity: [0.461572586334002, 0.3097772766120023]
specificity: [0.9899694214504304, 0.0047710350420152765]
dice coefficient: [0.5448921434671087, 0.28177559378062583]
hausdorff distance: [29.519389944447266, 21.219620259899383]

sensitivity: [0.3682354912883018, 0.302145203898992]
specificity: [0.9851002505767283, 0.007302815775965185]
dice coefficient: [0.4451449677469988, 0.29705698933597613]
hausdorff distance: [34.694575390938326, 22.145423269285903]

sensitivity: [0.42741615943924527, 0.2885234329209918]
specificity: [0.9951461964499652, 0.004069944469245215]
dice coefficient: [0.5320489171953595, 0.2740984006686985]
hausdorff distance: [20.658105622350313, 12.406020262859682]

sensitivity: [0.5616882422113857, 0.29098090681952127]
specificity: [0.9960240760939183, 0.003303499364045942]
dice coefficient: [0.6565286447755877, 0.26885065938650554]
hausdorff distance: [13.571375101547995, 9.078423753773732]

sensitivity: [0.5413530586072905, 0.2594549215708032]
specificity: [0.9951556411046132, 0.0022155552087192564]
dice coefficient: [0.6438767546283358, 0.21023196032351177]
