dice coefficient: [0.766559579624934, 0.1483249991566986]
hausdorff distance: [12.553304277217583, 8.845783462018732]

sensitivity: [0.6476789007705636, 0.3755293302196913]
specificity: [0.9459427575989984, 0.05075431415184826]
dice coefficient: [0.6000135929527843, 0.36566715289469365]
hausdorff distance: [49.27911103349917, 45.05961845985894]

sensitivity: [0.6978763577939955, 0.17005739772605877]
specificity: [0.9791517938203411, 0.009420059066395004]
dice coefficient: [0.7427427316459077, 0.13288282866485898]
hausdorff distance: [14.145730094426424, 8.278384711341454]

sensitivity: [0.8648383102313172, 0.10582658168776923]
specificity: [0.9855675227371905, 0.005867546534860194]
dice coefficient: [0.8513298644645262, 0.0797799722169236]
hausdorff distance: [7.183878699769015, 4.874274663339327]

sensitivity: [0.7018252228155061, 0.1936506070052608]
specificity: [0.9635677585992609, 0.022345496621400014]
dice coefficient: [0.7201389883975283, 0.17250946631811367]
hausdorff distance: [25.334706631859124, 26.15631166425483]

sensitivity: [0.9619566274738501, 0.02254855234474802]
specificity: [0.99155503724398, 0.001666013869154222]
dice coefficient: [0.921062755678669, 0.017706959656207534]
hausdorff distance: [7.103196930319773, 2.6541652866948096]

sensitivity: [0.7288547771623307, 0.1503795163738628]
specificity: [0.9766427986324493, 0.014585080824360887]
dice coefficient: [0.7341500382340496, 0.1427571136588016]
hausdorff distance: [13.344028750086853, 7.713855286659338]

sensitivity: [0.6119124159579101, 0.2791424337583616]
specificity: [0.9673995280582302, 0.02460829870022305]
dice coefficient: [0.6316438956158452, 0.2663499964341238]
hausdorff distance: [20.329650476353724, 16.29944717393683]

sensitivity: [0.7540851302886551, 0.15939433787742735]
specificity: [0.9773257195632912, 0.010506091574933511]
dice coefficient: [0.7730016172918314, 0.12624673453084884]
hausdorff distance: [13.3040339351298, 8.955594958064745]

sensitivity: [0.9291838136125977, 0.03803631594938208]
specificity: [0.9903503430038434, 0.0030205103883066114]
dice coefficient: [0.8989823062958382, 0.03063640037691887]
hausdorff distance: [4.810125721341659, 2.242622842020935]

sensitivity: [0.8454562297860727, 0.10546605753442499]
specificity: [0.9961903340801673, 0.0017768269032872556]
dice coefficient: [0.894104230380345, 0.06692113560289882]
hausdorff distance: [5.732965211954704, 4.339713110162601]

sensitivity: [0.8576695154586911, 0.09222970412087002]
specificity: [0.9960903027178846, 0.0022428118145266583]
dice coefficient: [0.9085902297841764, 0.05118710695046162]
hausdorff distance: [6.374774237216827, 4.3736620915639195]

sensitivity: [0.6021303155488166, 0.220114683626305]
specificity: [0.9754955284310708, 0.013060772679005116]
dice coefficient: [0.6353088396123019, 0.1900297815206645]
hausdorff distance: [24.829308072113122, 16.503700413142653]

sensitivity: [0.5728783139222313, 0.19236790414127086]
specificity: [0.9915014303992116, 0.004370473742371357]
dice coefficient: [0.6695200501791717, 0.13533138542079204]
hausdorff distance: [20.489455678761583, 15.013844921318395]

sensitivity: [0.8261744375971318, 0.11407548829515451]
specificity: [0.9721861032504598, 0.024318144141481687]
dice coefficient: [0.8119291212725461, 0.13175710180165204]
hausdorff distance: [10.170759166237694, 7.455802526604716]

sensitivity: [0.9124410867551541, 0.05301886513390757]
specificity: [0.9982615742033984, 0.0013039594067757426]
dice coefficient: [0.9403103446215368, 0.02309221459850281]
hausdorff distance: [3.37451169627566, 1.5532774419590236]

sensitivity: [0.7581806403781817, 0.19670232407065688]
specificity: [0.9692258926574481, 0.02388073484900981]
dice coefficient: [0.7636543413132072, 0.181802676069761]
hausdorff distance: [10.481009853338131, 8.321564303316354]

sensitivity: [0.8191969934058021, 0.09322298405747463]
specificity: [0.990845558370236, 0.004201271531153655]
