dice coefficient: [0.8452989455156654, 0.12260064648597266]
hausdorff distance: [6.104127046312764, 4.597785662954833]

sensitivity: [0.582697463177717, 0.2557317323799351]
specificity: [0.9616430717537393, 0.023804321017558364]
dice coefficient: [0.5768909509309595, 0.24823216623180616]
hausdorff distance: [19.654179775072446, 12.656219184092855]

sensitivity: [0.682687733023953, 0.16508894223427498]
specificity: [0.9883707583564515, 0.003984681307728345]
dice coefficient: [0.7598062598078762, 0.12188037128397257]
hausdorff distance: [17.399627446354543, 10.718502603507591]

sensitivity: [0.8579738656958186, 0.09021997761736042]
specificity: [0.990669996384281, 0.001968093252604741]
dice coefficient: [0.8705611249534663, 0.05245464015471299]
hausdorff distance: [6.424153146836414, 4.049311424508921]

sensitivity: [0.7621773841780114, 0.10707335269332482]
specificity: [0.9748225949201031, 0.01495070516735805]
dice coefficient: [0.7921182782161309, 0.09792724696454558]
hausdorff distance: [13.00448211645102, 7.519980821090721]

sensitivity: [0.8426280699052474, 0.04778006540597872]
specificity: [0.9935245229669707, 0.002487850119110728]
dice coefficient: [0.8698183033534893, 0.03946723333695725]
hausdorff distance: [8.11644712047769, 3.207795630515777]

sensitivity: [0.6669264870579134, 0.17984044469030097]
specificity: [0.9898387871733875, 0.007590263787426696]
dice coefficient: [0.7396646773505265, 0.1470535935177544]
hausdorff distance: [9.334108081100663, 4.977391518690415]

sensitivity: [0.6773741914799166, 0.22811280255903355]
specificity: [0.9943940021830431, 0.003369202177586549]
dice coefficient: [0.7601373269321443, 0.17708180302041937]
hausdorff distance: [13.019723650496214, 11.304282200330524]

sensitivity: [0.7329391056292747, 0.14566581663996486]
specificity: [0.9781132706970449, 0.007734559175190577]
dice coefficient: [0.7621274088026236, 0.11012245899015151]
hausdorff distance: [12.42655355068526, 6.205972944292044]

sensitivity: [0.9047772675408555, 0.05759630589895237]
specificity: [0.9938408824410835, 0.0014818308199832978]
dice coefficient: [0.9068958547627601, 0.034661099281994345]
hausdorff distance: [6.1296861449224, 3.520456565761468]

sensitivity: [0.7004466671879442, 0.21615554532039555]
specificity: [0.9873967967633283, 0.011685127802513826]
dice coefficient: [0.7569737742452975, 0.19441942431207915]
hausdorff distance: [9.998581824213723, 9.153962430071996]

sensitivity: [0.7301084734668625, 0.12388035720312118]
specificity: [0.9932847977232075, 0.00578133966492656]
dice coefficient: [0.8210081686345663, 0.09207567477720122]
hausdorff distance: [11.895733787491784, 5.035691047293611]

sensitivity: [0.6594905083507945, 0.14483557420053472]
specificity: [0.9752217675027152, 0.012225891893592267]
dice coefficient: [0.6824698276148085, 0.13563197209590097]
hausdorff distance: [16.70370193258851, 8.934185753641582]

sensitivity: [0.8020864855669816, 0.07908436353770855]
specificity: [0.9919704011908461, 0.0030474962409250722]
dice coefficient: [0.8473424081580347, 0.05112225232350285]
hausdorff distance: [5.945615196416455, 2.0206417964288095]

sensitivity: [0.8551531526328601, 0.07281659348573616]
specificity: [0.9904052622513426, 0.0060520281785029825]
dice coefficient: [0.8837821091070468, 0.0585156524342778]
hausdorff distance: [7.420179173568188, 4.669861635938646]

sensitivity: [0.8045695581637556, 0.04730508007676601]
specificity: [0.9997230738799087, 0.00034916945033294506]
dice coefficient: [0.8887697089790979, 0.027500994960977132]
hausdorff distance: [4.955493188432013, 1.7728754212871076]

sensitivity: [0.815482376423264, 0.10243700825774563]
specificity: [0.990379156528986, 0.004970237755859586]
dice coefficient: [0.8619284949478664, 0.07274344941091673]
hausdorff distance: [7.474551013724778, 4.483051841089124]

sensitivity: [0.7172224573551872, 0.1600959931156918]
specificity: [0.9912141687171232, 0.0027624059971954663]
dice coefficient: [0.7970373895286884, 0.11368783160952682]
hausdorff distance: [15.886449620145585, 9.636080728175203]

sensitivity: [0.9519684849161962, 0.04801711863578785]
specificity: [0.9950646209518471, 0.0022402110271096246]
dice coefficient: [0.952145721699507, 0.024371325198998317]
hausdorff distance: [3.232188370130885, 1.7377068241384435]

sensitivity: [0.928710786912003, 0.05065978934945885]
specificity: [0.9986705588195749, 0.0009335735702930767]
dice coefficient: [0.9446507639022729, 0.026456253920529433]
hausdorff distance: [2.2218828658185665, 1.195785598361404]

sensitivity: [0.6637929187641335, 0.16902161860524045]
specificity: [0.9833952635947334, 0.011632162009746176]
dice coefficient: [0.7312683391562924, 0.14463047009227303]
hausdorff distance: [15.594204688812946, 9.235120291044996]

sensitivity: [0.7672692595656743, 0.1112444190676444]
specificity: [0.9931914546982641, 0.002202950289376947]
dice coefficient: [0.8384473656612094, 0.07235424171040213]
hausdorff distance: [9.421966744457036, 3.438974071775717]

sensitivity: [0.523926605169341, 0.22513480839285274]
specificity: [0.9724504241964169, 0.021558114331569626]
dice coefficient: [0.5992182203743137, 0.2305986257269907]
hausdorff distance: [16.21289881947684, 7.289849920911026]

sensitivity: [0.6947525987825673, 0.11022848095610704]
specificity: [0.9970994082634073, 0.0018397565700815697]
dice coefficient: [0.8048119559843728, 0.07769311337145238]
hausdorff distance: [10.756617393749957, 4.840301186683448]

sensitivity: [0.8521261146338927, 0.07719564940230905]
specificity: [0.9798157666380278, 0.00939545283468644]
dice coefficient: [0.8591295574442837, 0.06337891427364752]
hausdorff distance: [8.24943894593565, 4.417400111371709]

sensitivity: [0.9848516762384294, 0.02083835281952295]
specificity: [0.9960138702728141, 0.0015189857855173329]
dice coefficient: [0.9380905485341156, 0.026507605452351937]
hausdorff distance: [2.3734636073503665, 0.7527752018918962]

sensitivity: [0.8113339907841264, 0.08539625073263538]
specificity: [0.9964377536376366, 0.002370993716445865]
dice coefficient: [0.8772992503614625, 0.054479070337973216]
hausdorff distance: [8.823878667403013, 3.9419747922773483]

sensitivity: [0.9618843795574463, 0.03468381913699482]
specificity: [0.9970315661737033, 0.0023852439256682656]
dice coefficient: [0.9666442884682205, 0.016192728878927375]
hausdorff distance: [2.6811969574387264, 1.1005375393058239]

sensitivity: [0.8588354057308979, 0.086409577401217]
specificity: [0.9988883860019616, 0.0006037994823482304]
dice coefficient: [0.9119306759198942, 0.0470297436301012]
hausdorff distance: [4.943482006002418, 3.2805465484169423]

sensitivity: [0.7682985975581798, 0.14826653967200815]
specificity: [0.9803622905117436, 0.007859810082104828]
dice coefficient: [0.7695060740532877, 0.11705386710610008]
hausdorff distance: [12.92528108869338, 7.6683619792581466]

sensitivity: [0.8516357662540454, 0.05669742060089537]
specificity: [0.988861699298804, 0.002645543948741056]
dice coefficient: [0.8776175766623727, 0.02510632081801001]
hausdorff distance: [6.440868485242776, 2.716961505519184]

sensitivity: [0.9941331972941879, 0.0062130070014813615]
specificity: [0.9957675404200734, 0.001108179955190109]
dice coefficient: [0.954933471996047, 0.012365329027627313]
hausdorff distance: [1.9419326802994636, 0.40277884566877786]

sensitivity: [0.9739124894603862, 0.018712476345716593]
specificity: [0.9823740583651474, 0.01023862115948488]
dice coefficient: [0.9223987243707187, 0.03088800736050423]
hausdorff distance: [7.540706082016872, 4.834365017038649]

sensitivity: [0.845451564433029, 0.09627537647509053]
specificity: [0.9786555068440527, 0.011696473439811682]
dice coefficient: [0.8587905401003508, 0.08043431753362862]
hausdorff distance: [9.403163748714821, 7.482012531054426]

sensitivity: [0.7981428664949385, 0.10500833545277792]
specificity: [0.9906403368132194, 0.00151433960976125]
dice coefficient: [0.8451587410265456, 0.059122819190895924]
hausdorff distance: [7.930588705016627, 2.864570263034702]

sensitivity: [0.8656106207507689, 0.06414758850226344]
specificity: [0.995010987780181, 0.0025006062173894665]
dice coefficient: [0.8978309883229596, 0.04414746317477541]
hausdorff distance: [6.019748909619531, 3.604990485211827]

sensitivity: [0.5087876460841213, 0.16963045924910836]
specificity: [0.961417224535689, 0.018733180944483667]
dice coefficient: [0.5249623782865601, 0.1750054529343222]
hausdorff distance: [18.576465276349435, 9.659965726470443]

sensitivity: [0.8021171566732135, 0.12334213202635971]
specificity: [0.9859489198990057, 0.0056454264899208195]
dice coefficient: [0.8131926883442759, 0.07780470933564776]
hausdorff distance: [15.453184760649174, 8.884391599123346]

sensitivity: [0.7484411755251995, 0.1489355458749844]
specificity: [0.9788353293187861, 0.008362509688993193]
dice coefficient: [0.7781385293378829, 0.11287192926146453]
hausdorff distance: [13.799210753759986, 8.369495160401339]

sensitivity: [0.7496369518423517, 0.14065474474404693]
specificity: [0.9809740409961575, 0.009996230518961723]
dice coefficient: [0.7511999147938089, 0.1274907901042555]
hausdorff distance: [13.598774615425793, 8.594959508854656]

sensitivity: [0.8341054261935359, 0.08661933377965089]
specificity: [0.9927508250006185, 0.005380227121498993]
dice coefficient: [0.8805142870206318, 0.06486692623208824]
hausdorff distance: [7.470225783502036, 4.693512552112195]

sensitivity: [0.8243809173670568, 0.10979610862775567]
specificity: [0.9888301455534502, 0.00404362658222892]
dice coefficient: [0.8318325722723853, 0.07913870277706124]
