dice coefficient: [0.710902942702604, 0.15128184324306876]
hausdorff distance: [21.69825475875944, 16.412974758524836]

sensitivity: [0.25838612964256646, 0.2838594414343154]
specificity: [0.984363032745044, 0.006805228341233802]
dice coefficient: [0.3119515090082856, 0.30856792770262237]
hausdorff distance: [64.91387677077115, 40.10721384725119]

sensitivity: [0.1605512944235148, 0.2540635499761298]
specificity: [0.9731411273041763, 0.010522011795746399]
dice coefficient: [0.18836215190287264, 0.2639395504292413]
hausdorff distance: [71.22555544685662, 26.07847614323778]

sensitivity: [0.48594751758402455, 0.2002853239140636]
specificity: [0.9964021925431094, 0.0055615456083351065]
dice coefficient: [0.6154396697146983, 0.1609514155225869]
hausdorff distance: [37.99769576301175, 19.245132285895036]

sensitivity: [0.4222446234302657, 0.26580765269247003]
specificity: [0.9754752212493333, 0.012908180103648246]
dice coefficient: [0.5026531941364865, 0.24959085240816198]
hausdorff distance: [23.489443749424208, 11.7875371618772]

sensitivity: [0.92386164397502, 0.03728779374820952]
specificity: [0.990814294622231, 0.003966290071758944]
dice coefficient: [0.8951661877007581, 0.03742772949474087]
hausdorff distance: [7.677920277142989, 2.4459913227912073]

sensitivity: [0.5383296409872655, 0.16628324283951712]
specificity: [0.9915017112646979, 0.0044834611871110664]
dice coefficient: [0.6471527087844925, 0.14601021659096114]
hausdorff distance: [15.02696423577959, 5.9713493050790305]

sensitivity: [0.27120296786329956, 0.2508851304361017]
specificity: [0.9933387082524395, 0.0049915701676897]
dice coefficient: [0.35841690851953256, 0.29233758713815483]
hausdorff distance: [68.85864667721835, 29.519261132047415]

sensitivity: [0.1777652410369591, 0.29985430829853515]
specificity: [0.9974257325487772, 0.004445057445515615]
dice coefficient: [0.20858375496374165, 0.3285068903878544]
hausdorff distance: [30.303492684254092, 27.73893168698749]

sensitivity: [0.2290015451374902, 0.3768912274453103]
specificity: [0.9972822592512233, 0.00530911921222686]
dice coefficient: [0.23900705255379384, 0.38465216223805415]
hausdorff distance: [12.103143894575288, 14.002119925663383]

sensitivity: [0.9610711237690961, 0.022017559262139618]
specificity: [0.9946278808819351, 0.0038617997597272437]
dice coefficient: [0.9529868615736722, 0.019189920993966658]
hausdorff distance: [2.3890460237760367, 0.8712782350928869]

sensitivity: [0.6535446670820545, 0.16509149881938529]
specificity: [0.9642647379274265, 0.028857809101535417]
dice coefficient: [0.6983801784967338, 0.17458675721618994]
hausdorff distance: [20.085341487272775, 13.898886910096047]

sensitivity: [0.12809102352521806, 0.23627638560035982]
specificity: [0.9988021924988113, 0.0021584579018182433]
dice coefficient: [0.1647091319650615, 0.2591048930570654]
hausdorff distance: [72.11265105670698, 35.94992540355246]

sensitivity: [0.17179037998348226, 0.236364627882616]
specificity: [0.9931630672037695, 0.008023936070377652]
dice coefficient: [0.21941066032298034, 0.2520773430538202]
hausdorff distance: [47.931216674973776, 23.333062409166292]

sensitivity: [0.8167308645335317, 0.1388814670856578]
specificity: [0.9702431391954263, 0.01442737123483081]
dice coefficient: [0.7866443136912945, 0.11332210063869437]
hausdorff distance: [14.829788705354781, 7.246426725487883]

sensitivity: [0.8388665740892359, 0.10065048382345745]
specificity: [0.9946061572627325, 0.0037445624817281655]
dice coefficient: [0.8737640427301799, 0.07964666536628687]
hausdorff distance: [5.163502136765283, 2.510958452521075]

sensitivity: [0.7014350285888873, 0.15440469569751047]
specificity: [0.9829249324678191, 0.011681916304170252]
dice coefficient: [0.7608461321600721, 0.14323699802754317]
hausdorff distance: [11.368844247857343, 5.024876164440376]

sensitivity: [0.7514644289257864, 0.13813772700836593]
specificity: [0.9941875827657635, 0.0034938046153095625]
dice coefficient: [0.8320595609403001, 0.09676099521361965]
hausdorff distance: [10.428689833965386, 5.953354377739247]

sensitivity: [0.14120424647846577, 0.291734188356052]
specificity: [0.99492765182048, 0.009064573896462083]
dice coefficient: [0.15635176279962484, 0.3132049932956318]
hausdorff distance: [26.22664736377276, 18.66156148737882]

sensitivity: [0.12222868327324778, 0.2774162479277942]
specificity: [0.9992289406826846, 0.0018707909443556512]
dice coefficient: [0.13502957330747542, 0.29900623868435955]
hausdorff distance: [12.809566296946718, 12.043997194743273]

sensitivity: [0.5461162443452251, 0.1858613100114248]
specificity: [0.9886386549534385, 0.0043419327115392335]
dice coefficient: [0.6505304944588222, 0.15384486014948426]
hausdorff distance: [15.05961184575262, 6.496775435188387]

sensitivity: [0.9014114469850758, 0.033001496224154075]
specificity: [0.9879518135245239, 0.005719600199571223]
dice coefficient: [0.9035229966828692, 0.026819523887374876]
hausdorff distance: [9.53824835834197, 4.470848344694033]

sensitivity: [0.8599322109325134, 0.0965004332980847]
specificity: [0.9761891501964968, 0.020165437654792593]
dice coefficient: [0.8475772525467095, 0.11007427859845391]
hausdorff distance: [8.421430293118958, 3.6486771783033474]

sensitivity: [0.9218485339598718, 0.06133300803796954]
specificity: [0.994793608274459, 0.004112545497904975]
dice coefficient: [0.9389591858967368, 0.04854281654481732]
hausdorff distance: [3.692005219184376, 2.244050830124396]

sensitivity: [0.8059848636682225, 0.1036421949692405]
specificity: [0.9744901205496681, 0.014825767145674285]
dice coefficient: [0.8183536312446543, 0.09302894859912286]
hausdorff distance: [7.3821124858030105, 3.3918159217373933]

sensitivity: [0.20737879338655277, 0.37003198832992373]
specificity: [0.9987025238472119, 0.002840007553226719]
dice coefficient: [0.21557695081180764, 0.37866077392038766]
hausdorff distance: [10.152689332906672, 11.879515954342715]

sensitivity: [0.5642189818313327, 0.20675440464655837]
specificity: [0.9949870632324023, 0.00785413156325411]
dice coefficient: [0.6823178564773147, 0.19527119426051953]
hausdorff distance: [40.11535173785751, 18.940042809208194]

sensitivity: [0.15791673524365823, 0.29639318849429214]
specificity: [0.9972063882132193, 0.004905702045907751]
dice coefficient: [0.1818577293462396, 0.3195961537751677]
hausdorff distance: [24.98169858294472, 17.921703690877855]

sensitivity: [0.8083595766240222, 0.12536971601105915]
specificity: [0.9952676521296439, 0.0054789914537406465]
dice coefficient: [0.8551183061682665, 0.10991503257531984]
hausdorff distance: [4.559918835333445, 2.388962162775141]

sensitivity: [0.4048079078600955, 0.1571351825277224]
specificity: [0.9942770588435477, 0.005140534650073111]
dice coefficient: [0.5377580423238243, 0.13734635357515088]
hausdorff distance: [47.785895115061095, 17.745653779232246]

sensitivity: [0.8732396055859795, 0.0866469959534073]
specificity: [0.9843411006817226, 0.00742209732085908]
dice coefficient: [0.8727981973367661, 0.06636771055489969]
hausdorff distance: [6.514853253023499, 2.5735877211076006]

sensitivity: [0.4908705998662745, 0.22807119121270603]
specificity: [0.9993879579995318, 0.001405927990325316]
dice coefficient: [0.6257104522885076, 0.18885475493742268]
hausdorff distance: [9.560191702679795, 4.778709861599231]

sensitivity: [0.22618214722573654, 0.3446146890075271]
specificity: [0.9956404627833828, 0.008048245092517088]
dice coefficient: [0.2592212727260137, 0.3571957078408309]
hausdorff distance: [59.385389067743915, 44.921326397076484]

sensitivity: [0.13126489966639096, 0.2662978177423752]
specificity: [0.9953358814494052, 0.0074155947842492334]
dice coefficient: [0.15208034620383373, 0.2877246559884916]
hausdorff distance: [45.07526738902923, 42.20095105335326]

sensitivity: [0.24612137408300466, 0.30445892670901253]
specificity: [0.9924345055828406, 0.0072281665901484625]
dice coefficient: [0.30302240886344994, 0.32944543088492195]
hausdorff distance: [49.658810171514496, 27.998672276959212]

