dice coefficient: [0.8163464559302354, 0.17449217137699813]
hausdorff distance: [8.208079941337074, 5.2720100856586605]

sensitivity: [0.6576090790533219, 0.1705969130629849]
specificity: [0.9359575647096066, 0.043346891391833876]
dice coefficient: [0.5783602497264433, 0.2185804784603413]
hausdorff distance: [62.71006744350819, 42.54621927461932]

sensitivity: [0.5626123714153874, 0.2604238835850817]
specificity: [0.9691717866238504, 0.02209870968758955]
dice coefficient: [0.6064288327713637, 0.23407068580839524]
hausdorff distance: [39.27098075394565, 31.41798960187031]

sensitivity: [0.6857629846214321, 0.1744717045285911]
specificity: [0.9927545412066231, 0.004769406909917118]
dice coefficient: [0.7630497110906129, 0.11444189920864506]
hausdorff distance: [24.197095104100633, 17.011777935392555]

sensitivity: [0.5986589191112139, 0.1958725158656035]
specificity: [0.951391488936725, 0.023141147411363843]
dice coefficient: [0.6191011306369706, 0.18037624516998985]
hausdorff distance: [37.150662759723076, 21.809667348372347]

sensitivity: [0.21427021471376237, 0.25848840908556664]
specificity: [0.9963878662420445, 0.0038951512372402547]
dice coefficient: [0.2728735520356367, 0.2957280443486729]
hausdorff distance: [27.373074150361827, 12.396497283189573]

sensitivity: [0.6219590023567569, 0.16910146472351667]
specificity: [0.9613447119447028, 0.02742930734007584]
dice coefficient: [0.6179316832287439, 0.18433602554310735]
hausdorff distance: [42.79058209028376, 33.48879540544897]

sensitivity: [0.4018403230641885, 0.3138094956591079]
specificity: [0.985542728447468, 0.012361812117900722]
dice coefficient: [0.46008979972722663, 0.2958932024000004]
hausdorff distance: [40.93565930577515, 38.09512388571761]

sensitivity: [0.5427220930406775, 0.1393990478373746]
specificity: [0.9584942524989736, 0.021904095524416755]
dice coefficient: [0.5790631012822225, 0.14218683883184016]
hausdorff distance: [27.006699645744327, 10.895175120722937]

sensitivity: [0.913228545589146, 0.07694762669035751]
specificity: [0.9863717039618091, 0.0072746658023745085]
dice coefficient: [0.8668212069892296, 0.06561784002391113]
hausdorff distance: [6.481908605153531, 3.1965910229133074]

sensitivity: [0.9752876143520843, 0.02349101184836111]
specificity: [0.9720591782289144, 0.025479829743926038]
dice coefficient: [0.8735996045297311, 0.08941019214012699]
hausdorff distance: [10.662681750273277, 9.20184136784893]

sensitivity: [0.5861828914539158, 0.34526232298793563]
specificity: [0.9311229826753213, 0.04400330999118765]
dice coefficient: [0.5514777535788756, 0.2898515548379907]
hausdorff distance: [26.919696589813487, 7.83985132803662]

sensitivity: [0.3111410671024601, 0.2658993176664136]
specificity: [0.9880571057594912, 0.006269007607234911]
