dice coefficient: [0.9197272990367416, 0.05399375081622307]
hausdorff distance: [3.8249061816399736, 1.9070289374624056]

sensitivity: [0.2499413053350615, 0.2802008187803161]
specificity: [0.9895309904511362, 0.005682981310457203]
dice coefficient: [0.3154271922978641, 0.3028197511447385]
hausdorff distance: [67.35326081216282, 38.697608771543464]

sensitivity: [0.6851577742108687, 0.19523840855850189]
specificity: [0.9933374630816725, 0.004167464858064996]
dice coefficient: [0.7734067842183072, 0.1408821614811534]
hausdorff distance: [12.306435639863631, 8.745568888027094]

sensitivity: [0.6279803141628776, 0.17299947624785084]
specificity: [0.9952158664388939, 0.005534321041923693]
dice coefficient: [0.7323715674346061, 0.11058857748388705]
hausdorff distance: [31.193230957833375, 16.427081575189554]

sensitivity: [0.4617427514576521, 0.30791292715697366]
specificity: [0.9845165799318701, 0.010807292597371601]
dice coefficient: [0.540840785343317, 0.27272941121507066]
hausdorff distance: [22.791497737289042, 14.755144782678865]

sensitivity: [0.3040254716734384, 0.3564395169325147]
specificity: [0.9974501309329197, 0.002978686062528311]
dice coefficient: [0.34472314584025043, 0.36590671808345737]
hausdorff distance: [26.53348754974879, 19.036433572316223]

sensitivity: [0.7866558279820828, 0.11791978535479496]
specificity: [0.9962643962342227, 0.0017354052698515376]
dice coefficient: [0.8555705550466626, 0.0793150557335417]
hausdorff distance: [9.358266525020955, 5.6911786400831685]

sensitivity: [0.4993117023913263, 0.31064679233979103]
specificity: [0.9923083216760121, 0.005437529489574062]
dice coefficient: [0.586258041441634, 0.26652646033821825]
hausdorff distance: [20.767861637094065, 19.344144411746846]

sensitivity: [0.22077376838088666, 0.3327327927326371]
specificity: [0.996774550058002, 0.004484982262537607]
dice coefficient: [0.25498386242962595, 0.33909379548149915]
hausdorff distance: [64.6480218206162, 44.32023549893584]

sensitivity: [0.3772390971610433, 0.36520826047428784]
specificity: [0.9949707870687997, 0.002488155207434111]
dice coefficient: [0.4230916346933588, 0.37859423028013833]
hausdorff distance: [23.2216696965102, 16.645584551994805]

sensitivity: [0.906095725653828, 0.04747969370510446]
specificity: [0.9981290441317713, 0.0017703379440580068]
dice coefficient: [0.940492946001603, 0.03045662746189354]
hausdorff distance: [2.748018015867258, 1.230879218743921]

sensitivity: [0.7169458686612631, 0.14877534154668542]
specificity: [0.9976587517373886, 0.0017432894297365312]
dice coefficient: [0.8201127098278851, 0.09955574999622067]
hausdorff distance: [15.39766506076276, 8.729943337534657]

sensitivity: [0.2458888383225924, 0.28939762845028366]
specificity: [0.9965523183499402, 0.003260559648875703]
dice coefficient: [0.3050654136036989, 0.330465353252988]
hausdorff distance: [25.316874107385154, 17.204821575093742]

sensitivity: [0.775785009378513, 0.12284964988625557]
specificity: [0.9927512535416604, 0.004212671108898738]
dice coefficient: [0.832932271789626, 0.09260354073382047]
hausdorff distance: [8.149873599527261, 3.3336007027029946]

sensitivity: [0.5913158672142614, 0.24540405825226402]
specificity: [0.9868322057049672, 0.011214947612955486]
