hausdorff distance: [10.923730024214652, 7.9270920913496425]

sensitivity: [0.4467252946340359, 0.21753666467107374]
specificity: [0.9544552098800164, 0.03030294571089149]
dice coefficient: [0.4667407480032957, 0.24274845773213008]
hausdorff distance: [56.611283254630344, 40.29428340262024]

sensitivity: [0.43498701204582507, 0.17529153883038967]
specificity: [0.9890564972498788, 0.007016536298079611]
dice coefficient: [0.5566192316512578, 0.145762507568379]
hausdorff distance: [73.4951814335137, 38.19282183065602]

sensitivity: [0.26719811360997514, 0.22475099487270503]
specificity: [0.9958303823016983, 0.003060161506979849]
dice coefficient: [0.36085933001737147, 0.2634542847897178]
hausdorff distance: [47.73025148005679, 17.58928917411206]

sensitivity: [0.8993367190386882, 0.06226607703976396]
specificity: [0.9543156793577199, 0.022111502583087292]
dice coefficient: [0.8197312035352764, 0.05129167021910511]
hausdorff distance: [10.784663962515962, 2.508191223892133]

sensitivity: [0.07640864331605801, 0.2154014166211563]
specificity: [0.9983546615915346, 0.0027362454724487494]
dice coefficient: [0.08980471635288421, 0.23547847310786463]
hausdorff distance: [45.04902814287858, 23.489123217693326]

sensitivity: [0.41821053103708705, 0.2233424009780042]
specificity: [0.962406542551667, 0.021580313687493545]
dice coefficient: [0.4491242558437007, 0.21900779294044456]
hausdorff distance: [50.75953689719862, 29.80273053455445]

sensitivity: [0.7475344699276028, 0.21115924406435266]
specificity: [0.9637699482492348, 0.027679292526887774]
dice coefficient: [0.7100645042194828, 0.14215004291580619]
hausdorff distance: [30.993974312075803, 21.668876828508022]

sensitivity: [0.6405176581384441, 0.12626709421047436]
specificity: [0.9753018928659841, 0.010883548513580343]
dice coefficient: [0.6925485933647894, 0.10891744351036509]
hausdorff distance: [19.120198352609, 14.710019769652076]

sensitivity: [0.5727196654991009, 0.24035979637909152]
specificity: [0.9815531833572607, 0.008027403332041688]
dice coefficient: [0.6012448898160085, 0.19383129478170424]
hausdorff distance: [15.058561932948122, 8.460085451394628]

sensitivity: [0.718286817963067, 0.11883966806269247]
specificity: [0.9819296599296593, 0.010630759236534188]
dice coefficient: [0.7530019903213697, 0.09467029186685134]
hausdorff distance: [9.503444889379658, 3.3042198122789848]

sensitivity: [0.5834822829852608, 0.15463848663811508]
specificity: [0.8949946691951157, 0.038931043485385224]
dice coefficient: [0.5277893873218683, 0.12295639523747331]
hausdorff distance: [26.68229772732572, 6.357802659489761]

sensitivity: [0.14056941838619355, 0.23234545912723087]
specificity: [0.9966659494570838, 0.0039950347107176485]
dice coefficient: [0.18095872452252118, 0.26530660202482687]
hausdorff distance: [74.53430942992561, 36.005949292731714]

sensitivity: [0.5792024861187345, 0.15599141067261263]
specificity: [0.9721210968301193, 0.010003237323353637]
dice coefficient: [0.6134613424526406, 0.13862778302420262]
hausdorff distance: [17.771754242615152, 7.1901380009999585]

sensitivity: [0.5984169677405734, 0.23637372811114504]
specificity: [0.9439412287018895, 0.026951947040932414]
dice coefficient: [0.573661684802463, 0.21737513924599722]
hausdorff distance: [16.612611320504282, 8.512019645606228]

sensitivity: [0.916281747913162, 0.058384837766644535]
specificity: [0.9937474036300918, 0.0039905007984924554]
dice coefficient: [0.9123154749496651, 0.03850858542720622]
hausdorff distance: [4.535459506125332, 1.8519198331184206]

sensitivity: [0.8908139623183875, 0.1772864561913501]
specificity: [0.9406546837002552, 0.028887365860436116]
dice coefficient: [0.7576670633118863, 0.14100791028711313]
hausdorff distance: [16.558563124583397, 7.58599502916528]

sensitivity: [0.35313566223163767, 0.29149681563537466]
specificity: [0.9914208450869123, 0.006537922732734286]
dice coefficient: [0.42794384512626993, 0.3115170606515079]
hausdorff distance: [28.235166466788126, 21.754009126004842]

sensitivity: [0.29478606509858024, 0.3324922962289635]
specificity: [0.9958202503461978, 0.0074659279282017176]
dice coefficient: [0.3491306310336435, 0.3655218523221586]
hausdorff distance: [15.686132405485209, 10.082218630367421]

sensitivity: [0.37449493642838033, 0.2604232599549439]
specificity: [0.9837536172304892, 0.00745951580189093]
dice coefficient: [0.4043507602907917, 0.26412866482016345]
hausdorff distance: [16.66072742514873, 7.599572027307217]

sensitivity: [0.43577706798866467, 0.1256889677263639]
specificity: [0.9910270387049904, 0.0071435512864669775]
dice coefficient: [0.567204447959601, 0.09905254050669146]
hausdorff distance: [51.04449960528692, 22.03086607570982]

sensitivity: [0.4190230338846966, 0.2552752943861123]
specificity: [0.9165342535656702, 0.044090236087195096]
dice coefficient: [0.414816884051227, 0.26372010274347535]
hausdorff distance: [23.743818312171708, 12.237827637775936]

sensitivity: [0.6707041358848915, 0.12856005481976943]
specificity: [0.97953005164803, 0.011117787241275805]
dice coefficient: [0.7321714482860273, 0.11668755386458297]
hausdorff distance: [40.924347475046716, 26.996254994751354]

sensitivity: [0.6333434913712701, 0.17688880274900418]
specificity: [0.955585310643263, 0.022361007347227704]
dice coefficient: [0.6503288405732248, 0.16731757724003243]
hausdorff distance: [15.113781834436818, 7.541458656059026]

sensitivity: [0.39697871281925146, 0.1689584241074876]
specificity: [0.9822949044980823, 0.00808261425420277]
dice coefficient: [0.5080898887506372, 0.16073688056442229]
hausdorff distance: [41.42969146211543, 13.445470068164957]

sensitivity: [0.9044086479904013, 0.09460097685698714]
specificity: [0.9947192841518567, 0.002450476820303361]
dice coefficient: [0.8769717029889186, 0.04479746259851041]
hausdorff distance: [4.620796205810359, 1.510488582446727]

sensitivity: [0.2535517442771607, 0.30851531703418333]
specificity: [0.9725032486859898, 0.013267503506484401]
dice coefficient: [0.2877826374329458, 0.34023606335888207]
hausdorff distance: [34.754689791959876, 21.12371978285643]

sensitivity: [0.7981252032887121, 0.1619243004221707]
specificity: [0.9691159513147024, 0.023147091326398514]
dice coefficient: [0.7804932488898296, 0.15881316025058717]
hausdorff distance: [23.784936361469907, 17.1233797953021]

sensitivity: [0.1928216451587095, 0.24977708359487258]
specificity: [0.9939753595664941, 0.008425309250181064]
dice coefficient: [0.24149846087782867, 0.28590761055531677]
hausdorff distance: [24.02926601464348, 12.97705277044922]

sensitivity: [0.2312883108088449, 0.2741864009773881]
specificity: [0.9790987037676888, 0.007089937158564786]
dice coefficient: [0.27355979831319327, 0.29268210276572654]
hausdorff distance: [40.00396666523616, 25.3334295160895]

sensitivity: [0.0793358132951521, 0.22976552388753674]
specificity: [0.9972431338491041, 0.007403085851253535]
dice coefficient: [0.08741399389639995, 0.24195463267852355]
hausdorff distance: [23.16160020613948, 16.03247566319562]

sensitivity: [0.1783074868820039, 0.31034166715840866]
specificity: [0.9950603653732911, 0.007888552125332978]
dice coefficient: [0.19323215955297796, 0.32463674710692353]
hausdorff distance: [18.10389476282478, 10.145999315438235]

sensitivity: [0.5342537914471029, 0.22223469814607358]
specificity: [0.957373926830934, 0.026016631885224233]
dice coefficient: [0.5681879380454142, 0.22367090356963504]
hausdorff distance: [20.160552618367586, 11.304222726723193]

sensitivity: [0.6517894012117633, 0.1676938541397275]
specificity: [0.952595882319681, 0.02527791512094705]
dice coefficient: [0.6748744237629791, 0.152930252948863]
hausdorff distance: [14.01566022279502, 6.2231772581076354]

sensitivity: [0.47264196609504183, 0.24268283630078866]
specificity: [0.9868665835574111, 0.00644577644255326]
dice coefficient: [0.5689661287878255, 0.2036274976944341]
hausdorff distance: [39.499379646649246, 19.833448368766785]

sensitivity: [0.6556850524754512, 0.17170529994126188]
specificity: [0.9731709322060016, 0.01869248437489525]
dice coefficient: [0.6678010722919606, 0.1778923506964538]
hausdorff distance: [15.937307293771447, 8.746555677745356]

sensitivity: [0.21524254383971791, 0.28868028847010224]
specificity: [0.995889059250678, 0.004636625893244574]
dice coefficient: [0.25895853689866677, 0.31471224403612874]
hausdorff distance: [48.11347353932906, 41.41940786866476]

sensitivity: [0.6518650216217738, 0.14957981177493113]
specificity: [0.9820331601585165, 0.006620567780969709]
dice coefficient: [0.6968277636053153, 0.11648339239476202]
hausdorff distance: [17.96669617144551, 9.767181204573067]

sensitivity: [0.5539125217066376, 0.14257116284164137]
specificity: [0.9834502546251662, 0.004706853623327026]
dice coefficient: [0.6502897587743772, 0.11473130939327125]
hausdorff distance: [30.500902265652826, 20.587900030060407]

sensitivity: [0.44156145175622274, 0.2346727257057014]
specificity: [0.9570651301630237, 0.01793025893040163]
dice coefficient: [0.4353693210829031, 0.2130473585910654]
hausdorff distance: [26.716452739259417, 9.78933874329202]

sensitivity: [0.3549401575610639, 0.21928849444093593]
specificity: [0.9670246315663172, 0.023013527106835675]
dice coefficient: [0.40434846867229923, 0.21675536177548785]
hausdorff distance: [50.20033834361867, 19.436032607493317]

sensitivity: [0.6239453840425712, 0.2626125356035724]
specificity: [0.961334094443603, 0.019911629416535678]
dice coefficient: [0.5799484461934308, 0.24220151464521786]
hausdorff distance: [15.615027788110146, 8.25252934014059]

sensitivity: [0.24682610296355706, 0.2807370863472818]
specificity: [0.9565630576325829, 0.018345378407109224]
dice coefficient: [0.2580423116859591, 0.2913170707611938]
hausdorff distance: [21.171717886091574, 9.337649334017826]

sensitivity: [0.9539802418078334, 0.01460980281691243]
specificity: [0.9654834499072824, 0.021849758402070964]
dice coefficient: [0.8380945342782231, 0.0813942966878934]
hausdorff distance: [12.68019436859775, 7.662419381277817]

sensitivity: [0.9760055405395627, 0.017235273538750977]
specificity: [0.95055356486568, 0.042518437550159556]
dice coefficient: [0.8054022532557117, 0.1343543040184455]
hausdorff distance: [10.933526876985846, 6.776773324886616]

sensitivity: [0.9000799571870531, 0.08473174165410371]
specificity: [0.9872794174764293, 0.01079383712565049]
dice coefficient: [0.8840137255727477, 0.07436995274849767]
hausdorff distance: [6.225913410141877, 3.9248781988849277]

sensitivity: [0.5536247112232981, 0.09775648845470847]
specificity: [0.9877059631991459, 0.009136165993728776]
dice coefficient: [0.6455949128904772, 0.09243311265888506]
hausdorff distance: [31.75791102087738, 10.292477232913127]

sensitivity: [0.09480426702131699, 0.24013033187911956]
specificity: [0.9975265836482402, 0.006041446261819397]
dice coefficient: [0.10933032244159452, 0.25779299441027176]
hausdorff distance: [21.986824588143293, 19.00397256106328]

sensitivity: [0.0928242249965139, 0.24845727754090222]
specificity: [0.9990571206622654, 0.0022355122310780636]
dice coefficient: [0.10320776507964075, 0.26840932684160274]
hausdorff distance: [15.589990409410893, 10.965304980719443]

sensitivity: [0.39177070490633586, 0.2522374893874758]
specificity: [0.9668309030584852, 0.0169050607139092]
dice coefficient: [0.41376041909954947, 0.2593302245197508]
hausdorff distance: [25.02319164237301, 13.213877050121972]

sensitivity: [0.7935272445277217, 0.13670653728675167]
specificity: [0.9803445563366361, 0.010268684296428496]
dice coefficient: [0.8050701231184451, 0.10173292081548962]
hausdorff distance: [28.569215487209224, 20.829464542135288]

sensitivity: [0.9018704491461592, 0.05659293162630597]
specificity: [0.9780097973867374, 0.016398573430627977]
dice coefficient: [0.8710697701326408, 0.071378997114343]
hausdorff distance: [7.244952729549632, 3.247151564051897]

sensitivity: [0.3772226942165496, 0.12848892784481647]
specificity: [0.9719800794984867, 0.01595408977520065]
dice coefficient: [0.4862125615086559, 0.11532667155273982]
hausdorff distance: [56.26875428221115, 26.227732616351194]

sensitivity: [0.5577246416452614, 0.1893571468900076]
specificity: [0.9708075471411747, 0.016874340853182606]
dice coefficient: [0.6183286546602818, 0.16276500253402892]
hausdorff distance: [22.15534473824003, 11.811323642860973]

sensitivity: [0.9650085127178252, 0.03046685174676359]
specificity: [0.9870398404564538, 0.00882925696022439]
dice coefficient: [0.9174230273915314, 0.03836724859997409]
hausdorff distance: [5.9143567519987625, 3.4235046677471677]

sensitivity: [0.5386858039104817, 0.13076417269066434]
specificity: [0.9873138152369233, 0.007902362870104656]
dice coefficient: [0.6408578347104552, 0.11070085706170912]
hausdorff distance: [33.46662282449144, 21.038500185530392]

sensitivity: [0.43118300742164606, 0.1472938759807969]
specificity: [0.9722716619277237, 0.01531189426133224]
dice coefficient: [0.5152733807415699, 0.1536274673761818]
hausdorff distance: [53.00667745989117, 25.338879441082867]

sensitivity: [0.2310431185520761, 0.31383405362893657]
specificity: [0.9887380584504756, 0.004044715453313726]
dice coefficient: [0.21787603217744772, 0.2881896507977108]
hausdorff distance: [17.018697995295536, 8.596351079281087]

sensitivity: [0.5642861404871032, 0.16797113597058505]
specificity: [0.9744248200881985, 0.010009118534123061]
dice coefficient: [0.6149772434382044, 0.14311180594182438]
hausdorff distance: [14.107371875847603, 5.239153120802141]

sensitivity: [0.4804747735043059, 0.2000306357656982]
