dice coefficient: [0.6430941513996917, 0.22083006441145078]
hausdorff distance: [25.228014027299583, 20.150615579638643]

sensitivity: [0.6062533567852879, 0.18824728086264708]
specificity: [0.9473927202293665, 0.03741684261775373]
dice coefficient: [0.5717790279272639, 0.22091217741601712]
hausdorff distance: [51.80526305198749, 40.75391253341261]

sensitivity: [0.656246751160421, 0.18512828363157213]
specificity: [0.9549597263117794, 0.021829275720441296]
dice coefficient: [0.6424173065626685, 0.1227279557782193]
hausdorff distance: [64.59168280541518, 27.010760430452518]

sensitivity: [0.5937404059860315, 0.22947552140846794]
specificity: [0.9823231319522391, 0.011280353045811094]
dice coefficient: [0.638747794008267, 0.18378739496838215]
hausdorff distance: [19.639073483045912, 17.221308295079957]

sensitivity: [0.6765500978940985, 0.30998789133240845]
specificity: [0.8434729030458136, 0.1128891289944388]
dice coefficient: [0.4901817084908063, 0.14906432330252795]
hausdorff distance: [45.28096065605074, 22.24188096209158]

sensitivity: [0.2572714257693963, 0.2812580277391292]
specificity: [0.9976671804425784, 0.0017904213398830852]
dice coefficient: [0.32399890913911883, 0.3137566685765715]
hausdorff distance: [25.353100309341514, 16.845235865702023]

sensitivity: [0.19212516859126919, 0.21602627099552088]
specificity: [0.9825878402050506, 0.012293152022781707]
dice coefficient: [0.2528957303485579, 0.23580962165108715]
hausdorff distance: [49.17356405705656, 27.150701610208074]

sensitivity: [0.7660625890855446, 0.12648998388151383]
specificity: [0.98479110279875, 0.008863797393291028]
dice coefficient: [0.7988312749233362, 0.10615230637472964]
hausdorff distance: [8.006804713087392, 3.5857697852968995]

sensitivity: [0.6719367162507236, 0.13276417652535608]
specificity: [0.9729188241563079, 0.012049604103409058]
dice coefficient: [0.7060564990929026, 0.10217583819747433]
hausdorff distance: [22.467613869636114, 16.192786264412153]

sensitivity: [0.809966599589566, 0.21201415150785544]
specificity: [0.991916986667957, 0.0061830637169191524]
dice coefficient: [0.824675786185583, 0.1437748633730151]
hausdorff distance: [8.901188475924652, 7.4923634710772555]

sensitivity: [0.9098356258381266, 0.12338921629945467]
specificity: [0.9788639965448358, 0.014551401523826854]
dice coefficient: [0.8533286909651318, 0.08891899584777245]
hausdorff distance: [10.464866088157578, 6.727053175320991]

sensitivity: [0.7986128851210071, 0.10733771245985864]
specificity: [0.9378543996930024, 0.0331397085134237]
dice coefficient: [0.7454362649002444, 0.11931937466342675]
hausdorff distance: [19.130537939921986, 9.939274862678467]

sensitivity: [0.767808535585259, 0.09277200582510603]
specificity: [0.9871600092096003, 0.004517784696360169]
dice coefficient: [0.8011679658031224, 0.06714332799586378]
hausdorff distance: [10.757922151022118, 4.973306511689608]

sensitivity: [0.7095708499082317, 0.14202475524964334]
specificity: [0.9629114197199194, 0.01552094904647587]
dice coefficient: [0.6759206803368933, 0.11556843013779157]
hausdorff distance: [15.572387990872373, 4.9498214373585085]

sensitivity: [0.6505820946391441, 0.204613115045189]
specificity: [0.9211740562213291, 0.0485753806512957]
dice coefficient: [0.5810042908776066, 0.21893183639102534]
hausdorff distance: [26.621766456756102, 14.444660514827008]

sensitivity: [0.651476390627325, 0.12966654325602944]
specificity: [0.9944759755457527, 0.0027864309286245]
dice coefficient: [0.7465234637550463, 0.0976104521647142]
hausdorff distance: [11.569319998557445, 5.277389010768363]

sensitivity: [0.33123123837849905, 0.2765143269475161]
specificity: [0.98867789083109, 0.007126852622906344]
