specificity: [0.9950865724417696, 0.003497279385153831]
dice coefficient: [0.8678859799770121, 0.07226336478792653]
hausdorff distance: [5.817109716625883, 2.999094509692894]

sensitivity: [0.5892789467615759, 0.24967242045456436]
specificity: [0.9905357121026083, 0.006075468766991713]
dice coefficient: [0.669186344313052, 0.2114196581774951]
hausdorff distance: [22.464839041815264, 21.44444776996288]

sensitivity: [0.6817885200708277, 0.15003745154768697]
specificity: [0.9917848317137011, 0.002555502604622576]
dice coefficient: [0.7720872012139763, 0.1064990505727121]
hausdorff distance: [14.024965938289599, 7.503354611759761]

sensitivity: [0.7169167226914417, 0.1351986693898697]
specificity: [0.993921007697592, 0.0017404649325668037]
dice coefficient: [0.7953309139178756, 0.09008234981130306]
hausdorff distance: [7.737764467601532, 4.0571337637865135]

sensitivity: [0.8527453739286756, 0.06693833059814716]
specificity: [0.9872017394203779, 0.007229577330877704]
dice coefficient: [0.8794346555726283, 0.04855576832222729]
hausdorff distance: [9.919138402983641, 4.561873884979188]

sensitivity: [0.3125117894763558, 0.4077386969426221]
specificity: [0.9969457417636927, 0.00384497489003401]
dice coefficient: [0.3320847672800189, 0.41339489191762036]
hausdorff distance: [14.520285980973394, 14.0393187691332]

sensitivity: [0.6374371790469077, 0.16562409490152727]
specificity: [0.9965381816487099, 0.002610646895455984]
dice coefficient: [0.7473387212292971, 0.11360199870524086]
hausdorff distance: [8.171847362908776, 3.939658700613657]

sensitivity: [0.6805362135570334, 0.2117114210011602]
specificity: [0.9949603107372713, 0.004059630775012801]
dice coefficient: [0.7687190327586291, 0.15455304928351038]
hausdorff distance: [9.309760473225385, 5.69166290268819]

sensitivity: [0.5725919139002632, 0.21053182517497768]
specificity: [0.988549111033276, 0.0038844015615471595]
dice coefficient: [0.6684194419296859, 0.17134000700224905]
hausdorff distance: [19.028466888266525, 15.273641168654285]

sensitivity: [0.6106054767828177, 0.20641910532069663]
specificity: [0.9952676598138931, 0.0030002119731398122]
dice coefficient: [0.7080895518456402, 0.1552679802732871]
hausdorff distance: [16.173799177610512, 11.194115425629914]

sensitivity: [0.9095830521959177, 0.033957765088468095]
specificity: [0.9963943622914403, 0.0036923362333360493]
dice coefficient: [0.9345933198786691, 0.01973513925244997]
hausdorff distance: [3.4483117587026557, 1.2945318387199563]

sensitivity: [0.9436782244813293, 0.03001892075267764]
specificity: [0.9905362927205099, 0.0047313731343036946]
dice coefficient: [0.9436884957579605, 0.01967799111499649]
hausdorff distance: [3.959229120224946, 1.9385144071933371]

sensitivity: [0.4550967030163252, 0.22108584505554987]
specificity: [0.997954133219692, 0.0018132137432278852]
dice coefficient: [0.5868061468359712, 0.17438334057484045]
hausdorff distance: [12.475793583452088, 5.149877778138279]

sensitivity: [0.7575788358948585, 0.07356954189679024]
specificity: [0.9968329896647634, 0.0014794263559615084]
dice coefficient: [0.8434126681138019, 0.04349864140590232]
hausdorff distance: [9.555861036179072, 4.197481767746938]

sensitivity: [0.9020700199339288, 0.045243113610037605]
specificity: [0.9917460976514376, 0.004336948298465824]
dice coefficient: [0.9146022645577077, 0.03325150855771329]
hausdorff distance: [6.286390990802385, 3.01904316698055]

sensitivity: [0.9557911706882061, 0.013362188421309505]
specificity: [0.9972806530641728, 0.0016335563888199263]
dice coefficient: [0.9578552989915904, 0.013201700926619153]
hausdorff distance: [2.57209681025058, 0.8471430410692885]

sensitivity: [0.562181595840274, 0.2802808241121624]
specificity: [0.9956700134380697, 0.0030559581956698585]
dice coefficient: [0.6630189119881581, 0.22813895275335583]
hausdorff distance: [16.017251239174545, 11.16158573297248]

sensitivity: [0.8369074730170049, 0.0790497788065052]
specificity: [0.9972217121634391, 0.002429683171487192]
dice coefficient: [0.8988095142446876, 0.04048563153197298]
hausdorff distance: [7.29730205043302, 3.422871521312586]

sensitivity: [0.41266202025121845, 0.35106413439332135]
specificity: [0.9993079951965984, 0.0008704010963539255]
dice coefficient: [0.49272834635224855, 0.3620358213747582]
hausdorff distance: [19.451548983471486, 14.208026301157336]

sensitivity: [0.34892412489577823, 0.3284105132272256]
specificity: [0.9994237103049716, 0.0007470169222428664]
dice coefficient: [0.4302850744363486, 0.3358613890177509]
hausdorff distance: [15.156571593973807, 10.391262556433954]

sensitivity: [0.7503955791969751, 0.13904317418236145]
specificity: [0.9890375172542029, 0.006024001654437196]
dice coefficient: [0.8078265999171257, 0.09681487226996278]
hausdorff distance: [10.631564812408856, 6.656062122072119]

sensitivity: [0.8767724792845871, 0.07584881143568441]
specificity: [0.9660643647866826, 0.02928305354182166]
dice coefficient: [0.8291714329500562, 0.11759537037959529]
hausdorff distance: [16.72666499679049, 11.845618518471026]

sensitivity: [0.8532376288872665, 0.06290239614756334]
specificity: [0.9851660825024007, 0.008048263230528312]
dice coefficient: [0.8701775122468387, 0.05568509399995304]
hausdorff distance: [7.784254190608026, 3.9839745685267687]

sensitivity: [0.8659693589060876, 0.04642471442820809]
specificity: [0.9921251204303186, 0.0033828945161427514]
dice coefficient: [0.9012350241868194, 0.034270140550940756]
hausdorff distance: [5.601136916830938, 2.143345960310718]

sensitivity: [0.8822509246775033, 0.04799667899840674]
specificity: [0.9760702696102587, 0.008428101566046375]
dice coefficient: [0.865863376762474, 0.04206233052509464]
hausdorff distance: [7.129849347723128, 2.5752504626615913]

sensitivity: [0.5905314434442182, 0.23785433003721837]
specificity: [0.9988159982520786, 0.0013371144661052637]
dice coefficient: [0.6965703238536469, 0.18473495806113038]
hausdorff distance: [9.022713809420134, 5.038912135897908]

sensitivity: [0.7595554392204509, 0.12037195017117301]
specificity: [0.9931761108825456, 0.00373538338032225]
dice coefficient: [0.8292536847820853, 0.08674752363296494]
hausdorff distance: [12.225345728474375, 6.926345006755485]

sensitivity: [0.7253215557169443, 0.255440551055957]
specificity: [0.9971423487794221, 0.003408415379884024]
dice coefficient: [0.797994638638157, 0.19348501975422416]
hausdorff distance: [8.80241049291025, 6.876353407218843]

sensitivity: [0.954915911779466, 0.021816462743077063]
specificity: [0.9963027656975733, 0.0027190719408708174]
dice coefficient: [0.9472426769552497, 0.023770669089278697]
hausdorff distance: [2.4292168847323348, 0.9994525135949822]

sensitivity: [0.5430413369291309, 0.24209292101467278]
specificity: [0.9887221437569856, 0.007972794992189202]
dice coefficient: [0.6257059723215354, 0.20499399734337237]
hausdorff distance: [26.13351216955451, 20.218132332564245]

sensitivity: [0.617252923012545, 0.19129376500745499]
specificity: [0.9934254188121721, 0.0037751574262033425]
dice coefficient: [0.7240419777596981, 0.16084527012443833]
hausdorff distance: [14.903030098763145, 8.469535241599335]

sensitivity: [0.39430344995478134, 0.3803340752690969]
specificity: [0.9979910548982834, 0.0017120881781056796]
dice coefficient: [0.45238924902134936, 0.3815645120349608]
hausdorff distance: [22.793975454976803, 20.380579390469947]

