dice coefficient: [0.8753303772767322, 0.040336473118070156]
hausdorff distance: [19.728347150254113, 13.821202988611152]

sensitivity: [0.8825591365137666, 0.1460053500954059]
specificity: [0.9885049729311288, 0.009180752440024363]
dice coefficient: [0.869287838015328, 0.10545328693381703]
hausdorff distance: [43.186396940205775, 38.677320477548406]

sensitivity: [0.9326065188817646, 0.04432528693096024]
specificity: [0.9915355211664332, 0.004327555642981228]
dice coefficient: [0.9321764182304277, 0.03251172926209675]
hausdorff distance: [4.206829903208317, 2.5695490198617152]

sensitivity: [0.9936510383742967, 0.015274733016329761]
specificity: [0.9894001629528403, 0.004692339773838609]
dice coefficient: [0.9387959556489667, 0.025541410987308333]
hausdorff distance: [6.911566505217219, 17.34349777613]

sensitivity: [0.9434032565002387, 0.061209238386695966]
specificity: [0.9880832214902447, 0.004625612379627513]
dice coefficient: [0.9315590407894678, 0.0338748877203927]
hausdorff distance: [10.037885283413797, 14.713061964470826]

sensitivity: [0.9140088934333797, 0.1632708574075854]
specificity: [0.9795027813649031, 0.02186850115553382]
dice coefficient: [0.8291674998501664, 0.16856536111102796]
hausdorff distance: [23.999297133668627, 26.056356942018674]

sensitivity: [0.894792739311968, 0.14328938863969815]
specificity: [0.9906695739832895, 0.0028655261324341697]
dice coefficient: [0.8871748849459931, 0.09742361050302872]
hausdorff distance: [11.149808698068476, 20.6498208062397]

sensitivity: [0.9910370174408817, 0.013665587713331418]
specificity: [0.9919357615302532, 0.003326668385188517]
dice coefficient: [0.9570484341225309, 0.01130352263531264]
hausdorff distance: [3.0157762040855953, 2.634089448026474]

sensitivity: [0.971972516314726, 0.06740312047260084]
specificity: [0.9786632853208804, 0.012630168664232073]
dice coefficient: [0.9054020831309249, 0.07142568728734228]
hausdorff distance: [23.18629640211594, 26.20678650947547]

sensitivity: [0.9150585161115973, 0.174110449348905]
specificity: [0.9922268335553109, 0.0016669153667384434]
dice coefficient: [0.8927188121831797, 0.10812392790581297]
hausdorff distance: [5.848594043755244, 8.947659715144365]

sensitivity: [0.9510567519298067, 0.04438775314338331]
specificity: [0.9956054406857612, 0.002634446879928517]
dice coefficient: [0.9517131773837415, 0.01390964960185433]
hausdorff distance: [2.54874878471046, 1.0972144878905639]

sensitivity: [0.971246407828673, 0.022783397165160903]
specificity: [0.9964587147549693, 0.0017338904445415944]
dice coefficient: [0.9746313265539239, 0.00837207579931604]
hausdorff distance: [1.7129966106554495, 1.0322996715503412]

sensitivity: [0.9721761724754187, 0.0430910240522004]
specificity: [0.9837865986823556, 0.005775069558539794]
dice coefficient: [0.9032560253421552, 0.04421061654596761]
hausdorff distance: [4.403211544961409, 3.809426215366109]

sensitivity: [0.9725752018878903, 0.03334036598303841]
