specificity: [0.9886849525552921, 0.006540341420103282]
dice coefficient: [0.9216792960643727, 0.031005802002636293]
hausdorff distance: [12.859078009684842, 11.16441278083356]

sensitivity: [0.9186158727635187, 0.10857265275469398]
specificity: [0.9760084702458957, 0.01732885611250386]
dice coefficient: [0.835671060588082, 0.1270161944016593]
hausdorff distance: [53.87447785553137, 42.771181525966696]

sensitivity: [0.9596729827452938, 0.04092404903488905]
specificity: [0.9929727521294169, 0.0025071495674250403]
dice coefficient: [0.9514868351511948, 0.020581857649976734]
hausdorff distance: [3.0237241215677058, 2.6122325898197256]

sensitivity: [0.9983007712747648, 0.0036811530138330913]
specificity: [0.989437093741837, 0.006066476793358375]
dice coefficient: [0.9416427593277469, 0.031590478133133384]
hausdorff distance: [4.321740779342798, 11.028261723234785]

sensitivity: [0.9679043159713605, 0.030174860609310013]
specificity: [0.9846008634390955, 0.007307229039717482]
dice coefficient: [0.9340273392548699, 0.027354328358995553]
hausdorff distance: [16.187989605352534, 24.284061834949792]

sensitivity: [0.9560213436594691, 0.09438930848938865]
specificity: [0.9730971199879538, 0.018674030663372924]
dice coefficient: [0.815476551147631, 0.12754341066326447]
hausdorff distance: [33.84711553267636, 23.792984332592507]

sensitivity: [0.9676030623012182, 0.04041378225727747]
specificity: [0.9915927886847409, 0.0021858708281144823]
dice coefficient: [0.9356815437998969, 0.01574492848566157]
hausdorff distance: [4.629722544069092, 10.669223768934884]

sensitivity: [0.9885478831439546, 0.012800551633923171]
specificity: [0.9944252793344563, 0.0021929529292137304]
dice coefficient: [0.9674998329394124, 0.006686039231758189]
hausdorff distance: [2.053809052624351, 0.8257532169832982]

sensitivity: [0.9869047868605401, 0.03536052624519915]
specificity: [0.9789469327770473, 0.008636630463099813]
dice coefficient: [0.9144548074197508, 0.037604952649897175]
hausdorff distance: [22.636886989008556, 22.229215328335854]

sensitivity: [0.9625950527396694, 0.08991247735621881]
specificity: [0.9933409481607527, 0.00139218013553685]
