specificity: [0.9920284956496848, 0.002137388895459786]
dice coefficient: [0.9466911683054501, 0.017582635025734282]
hausdorff distance: [3.846397761865119, 2.3177340063488012]

sensitivity: [0.8455916739884581, 0.12685375426196926]
specificity: [0.9919948387662316, 0.008206146418933875]
dice coefficient: [0.8670143581170574, 0.07603769130489078]
hausdorff distance: [14.144464667103485, 21.864753660043696]

sensitivity: [0.9616299496874041, 0.030588095923827986]
specificity: [0.9929085700874528, 0.002163343440848159]
dice coefficient: [0.952554473490298, 0.017705802438581813]
hausdorff distance: [3.557922868876985, 2.4781414122527723]

sensitivity: [0.9977056501620037, 0.004227280485908804]
specificity: [0.9881084495651803, 0.006429010949789045]
dice coefficient: [0.9348471493678369, 0.031477029991715505]
hausdorff distance: [2.406328405443178, 1.069072934130607]

sensitivity: [0.9743448462186673, 0.024093978001762054]
specificity: [0.9864881137575491, 0.0025681856558187246]
dice coefficient: [0.9432862179188317, 0.014154440126219787]
hausdorff distance: [15.592960508444312, 21.839404355020676]

sensitivity: [0.90399450015371, 0.19718034360610695]
specificity: [0.9705556968038865, 0.020203549988760512]
dice coefficient: [0.7689647758948257, 0.17324804475559136]
hausdorff distance: [37.37497949896838, 25.9103114760326]

sensitivity: [0.9507419568664606, 0.06261408106907404]
specificity: [0.9910019534286147, 0.0029442879169385354]
dice coefficient: [0.9236046647927455, 0.030754089231286027]
hausdorff distance: [3.312313592699661, 2.064439874869306]

sensitivity: [0.9941987625590356, 0.0098838150679393]
specificity: [0.9934798802021111, 0.0023585405878134616]
dice coefficient: [0.9660276397020369, 0.0065731394780120965]
hausdorff distance: [1.9373231663135508, 0.4967685067159927]

sensitivity: [0.9890720594746423, 0.024697362639004076]
specificity: [0.983988196602586, 0.003088150954624175]
dice coefficient: [0.9324591887627383, 0.019826747819897]
hausdorff distance: [7.417226819492925, 9.64458810118546]

sensitivity: [0.9311899102638974, 0.14434972148443448]
specificity: [0.9941134394300891, 0.001407303149714783]
dice coefficient: [0.9166690193088681, 0.08742107222302498]
hausdorff distance: [4.074737933322563, 6.580008417528215]

sensitivity: [0.9628138121747399, 0.0403973742217397]
specificity: [0.9961609189880734, 0.0028541064190916636]
dice coefficient: [0.9613241750587787, 0.012161649167521002]
hausdorff distance: [2.0907847884788, 0.7270618737532997]

sensitivity: [0.9738016177863297, 0.01568774516796283]
specificity: [0.9981894549065871, 0.0012122045657251917]
dice coefficient: [0.9810864570370655, 0.0053855878370238]
hausdorff distance: [1.296649831220389, 0.38991351416624487]

sensitivity: [0.9679488080391991, 0.04978872776484911]
specificity: [0.985210575005714, 0.005457771412570588]
dice coefficient: [0.9062415218609715, 0.04898543049959604]
hausdorff distance: [4.104917889628865, 2.7355040582565837]

sensitivity: [0.9577877123687913, 0.050718619414873656]
specificity: [0.9899969449813082, 0.0032986130532366956]
dice coefficient: [0.9269002153886987, 0.02934103522713412]
hausdorff distance: [3.3314489815218526, 1.693550811219928]

sensitivity: [0.979271229327687, 0.03002644440013095]
specificity: [0.9915381909509564, 0.004146675648387104]
dice coefficient: [0.9539920680491911, 0.011100887010489481]
hausdorff distance: [2.4835460182548927, 0.9993326982926828]

sensitivity: [0.9661160015318195, 0.02204878136453903]
specificity: [0.997132960713542, 0.0012010156591522139]
dice coefficient: [0.9619746139309868, 0.014737767014497416]
hausdorff distance: [2.384452602071929, 0.8837717211695972]

sensitivity: [0.9887513546371618, 0.014609850273318079]
specificity: [0.9869435834733977, 0.005609010129289695]
dice coefficient: [0.9467971269340262, 0.020375598280855344]
hausdorff distance: [3.194399967034293, 1.6007734122223465]

sensitivity: [0.9540608117230902, 0.07706537765555298]
specificity: [0.9911336881920715, 0.0029933500576783682]
dice coefficient: [0.944606950926287, 0.03496267084560922]
hausdorff distance: [3.4234226825419793, 3.1906389856354918]

sensitivity: [0.9309524047125215, 0.12163617031528108]
specificity: [0.9856952748052767, 0.01436186973892869]
dice coefficient: [0.9023636135003786, 0.09130477084475537]
hausdorff distance: [19.630304131647318, 22.14989450010309]

sensitivity: [0.974861923670968, 0.041574200931688544]
specificity: [0.9952731592975216, 0.0023125550825013864]
dice coefficient: [0.9300736455572323, 0.03107649896737492]
hausdorff distance: [2.3288153830398333, 1.9087392641174696]

sensitivity: [0.9549461299855099, 0.048425457201333504]
specificity: [0.9919408354569573, 0.0041417203449900745]
dice coefficient: [0.9420299069532694, 0.02481306821519094]
hausdorff distance: [17.07211111292314, 20.658566152599736]

sensitivity: [0.9490877075876722, 0.050485740966269094]
specificity: [0.9961878254483881, 0.0020153136045928475]
dice coefficient: [0.9579116661911821, 0.022179548772229912]
hausdorff distance: [6.555308768477091, 5.006122280094715]

sensitivity: [0.9774889250264057, 0.0184645976519972]
specificity: [0.9831090829404698, 0.017730067309710357]
dice coefficient: [0.9324641547810466, 0.056631581357332504]
hausdorff distance: [7.300429462049714, 7.204424312159614]

sensitivity: [0.9705690717573937, 0.05575696338149056]
specificity: [0.9899929258135243, 0.0016839497985702727]
dice coefficient: [0.9492902973759796, 0.029570142228780245]
hausdorff distance: [2.699231420161581, 2.2017000417281705]

sensitivity: [0.9056188050217864, 0.07423517110453695]
specificity: [0.9917163710631903, 0.002903987746546514]
dice coefficient: [0.9221172246773316, 0.035400623228974804]
hausdorff distance: [6.357132625332981, 4.177742386815356]

sensitivity: [0.9865960491425224, 0.035826982288643006]
specificity: [0.9959513086706303, 0.0020724232825378784]
dice coefficient: [0.9373695163955548, 0.034395678246795465]
hausdorff distance: [3.338030341527184, 8.997641548708412]

sensitivity: [0.9928687501458789, 0.011666965413982364]
specificity: [0.989901918967067, 0.0031531308858641937]
dice coefficient: [0.9504378321198576, 0.016187279406449435]
hausdorff distance: [2.7152130848968294, 1.4121914070945587]

sensitivity: [0.9967191652975861, 0.005244903795349458]
specificity: [0.9727650410183987, 0.014812901574075695]
dice coefficient: [0.8946760409592949, 0.05262026463268006]
hausdorff distance: [48.044389276523034, 26.06089009184552]

sensitivity: [0.9439425900634858, 0.08883708404138191]
specificity: [0.9955243961266201, 0.006608141463390264]
dice coefficient: [0.9352509131105078, 0.08992011934377771]
hausdorff distance: [5.713946705092043, 13.282224200714069]

sensitivity: [0.976926815100661, 0.041419933790083546]
specificity: [0.98694591151029, 0.006023812761160877]
dice coefficient: [0.919551347028089, 0.04764638752112317]
hausdorff distance: [5.459345567621345, 3.0379070602351383]

sensitivity: [0.9060306976373453, 0.09377278202226692]
specificity: [0.9738054009791436, 0.024442160438860577]
dice coefficient: [0.8654746562686171, 0.10794657610284354]
hausdorff distance: [23.977105763435816, 24.21015763150555]

sensitivity: [0.9970898502435842, 0.006558455012690821]
specificity: [0.9911566371659714, 0.007267500378842934]
dice coefficient: [0.9237060419637516, 0.05203398611780954]
hausdorff distance: [23.34595141835484, 31.66859462788251]

sensitivity: [0.9947017132500924, 0.008219361570871189]
specificity: [0.988283179642524, 0.00550672177784179]
dice coefficient: [0.9508065845566873, 0.02269570797441512]
hausdorff distance: [5.335781645061894, 5.867660030729506]

sensitivity: [0.9929864138898336, 0.012205883005288116]
specificity: [0.9822620275294421, 0.003320759172173431]
dice coefficient: [0.9469330727933197, 0.013441556116714378]
hausdorff distance: [4.963906078280207, 3.7584974541270455]

sensitivity: [0.9737932313954619, 0.04830789541259135]
specificity: [0.9902413279925238, 0.002187597528887937]
dice coefficient: [0.945131386783281, 0.032222228306313286]
hausdorff distance: [3.0205755670338945, 2.368429137038133]

sensitivity: [0.9125254137625058, 0.07403053212293002]
specificity: [0.9973555276529915, 0.003329749218661589]
dice coefficient: [0.9358145012998015, 0.025229001443732225]
hausdorff distance: [2.7586960845293125, 1.1356037659336282]

sensitivity: [0.9719534153708995, 0.08939372556436828]
specificity: [0.9517412001094275, 0.03701577964028235]
dice coefficient: [0.7859785622800204, 0.14531698969879728]
hausdorff distance: [25.329869678812695, 20.05902212773674]

sensitivity: [0.8731938334548696, 0.10709023121079123]
specificity: [0.9786428005537066, 0.01619316332584628]
dice coefficient: [0.8292992975551808, 0.1175796587561826]
hausdorff distance: [32.51045670108578, 13.670047735352894]

sensitivity: [0.9056658542592324, 0.1068374338864312]
specificity: [0.9803749718094715, 0.013213491359406958]
dice coefficient: [0.879273715237773, 0.09814150614847217]
hausdorff distance: [18.391021269745025, 6.253292731762952]

sensitivity: [0.9723309417503184, 0.06533358795257922]
specificity: [0.9849228150610883, 0.01570465676183777]
dice coefficient: [0.9006534629623734, 0.08016226085888747]
hausdorff distance: [6.83128365804698, 5.528733753458707]

sensitivity: [0.9502086043681269, 0.04747998099463221]
specificity: [0.9961114895313998, 0.0018142818777058842]
dice coefficient: [0.9579027035344064, 0.02203002454562144]
hausdorff distance: [4.796380055976092, 3.4920965563161017]

sensitivity: [0.9960473002837708, 0.009501596494380073]
specificity: [0.9847915110690912, 0.00858415089832718]
dice coefficient: [0.9038225352289132, 0.04986679087772579]
hausdorff distance: [11.00303931805574, 17.62100429691753]

sensitivity: [0.9924547593715698, 0.021991341455809436]
specificity: [0.9851747594106857, 0.006395163191207164]
dice coefficient: [0.9034693047706193, 0.043314946281142484]
hausdorff distance: [10.24880501113611, 19.574524153698125]

sensitivity: [0.938308446603887, 0.03740367237907323]
specificity: [0.9919275392892669, 0.009957423948669953]
dice coefficient: [0.9303912171168888, 0.05910707364487769]
hausdorff distance: [5.96839739950779, 7.697070816110199]

sensitivity: [0.9401262515863127, 0.045468602351930766]
specificity: [0.9915921604697323, 0.002811371151035869]
dice coefficient: [0.9248287556319562, 0.035712209572432346]
hausdorff distance: [5.34553441954493, 2.755345429547285]

sensitivity: [0.996880817087695, 0.004045908230158744]
specificity: [0.9827625557356975, 0.010075866936893581]
dice coefficient: [0.91386985967649, 0.04480509668114505]
hausdorff distance: [7.115939751321734, 12.802216010866735]

sensitivity: [0.9490912029837103, 0.04711944306103698]
specificity: [0.9978800783745684, 0.0016273849864168624]
dice coefficient: [0.9591810152009284, 0.016647135091378357]
hausdorff distance: [1.5788176659717152, 0.5836678087310956]

sensitivity: [0.9786352910332993, 0.03989849536602967]
specificity: [0.9834353277308631, 0.012853222902280591]
dice coefficient: [0.9330992585212073, 0.047324237880667044]
hausdorff distance: [4.835538841420389, 7.744948726736766]

sensitivity: [0.9651207140612581, 0.05683684414157721]
specificity: [0.99422912361595, 0.0047741644248724575]
dice coefficient: [0.9297191903949871, 0.042766602449750814]
hausdorff distance: [10.834893995339065, 24.868421852684964]

sensitivity: [0.9479499002342581, 0.0637886570788989]
specificity: [0.9932622353861202, 0.0019690928756626903]
dice coefficient: [0.9240035873844501, 0.028065168534118987]
hausdorff distance: [3.5653709275611893, 1.9802685379096432]

sensitivity: [0.9615330169212934, 0.017249317523131785]
specificity: [0.9960681013849635, 0.0014039622240989511]
dice coefficient: [0.9633339628533221, 0.004983863508111318]
hausdorff distance: [1.9932268589618372, 0.3564360934489206]

sensitivity: [0.9611175495156725, 0.01878414346154906]
specificity: [0.9935408164940416, 0.002068327439429616]
dice coefficient: [0.9547650939541447, 0.010756484546722745]
hausdorff distance: [3.7638278219492096, 2.065655697364495]

sensitivity: [0.9859599805907365, 0.019873767927912508]
specificity: [0.9801360333709978, 0.006260579231063242]
dice coefficient: [0.9422130828790463, 0.02658251350965934]
hausdorff distance: [2.8525668204030112, 1.6112715067514813]

sensitivity: [0.993971519703691, 0.00945236216027702]
specificity: [0.9872803393276892, 0.003809442812164813]
dice coefficient: [0.9523160421643094, 0.01715259739505704]
hausdorff distance: [2.968468650541559, 2.110654054415039]

sensitivity: [0.9767786491063704, 0.017271245109388676]
specificity: [0.9960665454027609, 0.0016393160443584501]
dice coefficient: [0.9666107021824025, 0.007959733640069555]
hausdorff distance: [1.7568368076144358, 0.7832780039112014]

sensitivity: [0.9622684305816301, 0.03963304468853336]
specificity: [0.995616434904124, 0.003119487054047023]
dice coefficient: [0.9575261101161369, 0.020161385377920418]
hausdorff distance: [2.7127178966742638, 1.6455480180565443]

sensitivity: [0.9459550116830632, 0.059112780482695526]
specificity: [0.9932850282934615, 0.0037541841158906333]
dice coefficient: [0.9446258030653172, 0.01849648444465121]
hausdorff distance: [2.64168115044612, 0.7669337429298115]

sensitivity: [0.7471775570061016, 0.1924037074703921]
specificity: [0.9664125503405987, 0.008316678999565015]
dice coefficient: [0.4313127322314286, 0.12399502674853324]
hausdorff distance: [50.516148891529305, 8.935996558984144]

sensitivity: [0.9918011286357109, 0.015089312602415413]
specificity: [0.9662319522793809, 0.020350252654756557]
dice coefficient: [0.8576757560922051, 0.08220462074932144]
hausdorff distance: [40.036917816200635, 23.688503789365782]

sensitivity: [0.997103400172891, 0.00505466729658122]
specificity: [0.9939671422619071, 0.0019211357411908672]
dice coefficient: [0.9356004651864999, 0.0199349135428884]
hausdorff distance: [4.5427056008817255, 12.321951651032578]

sensitivity: [0.968865998182108, 0.02664344254609353]
specificity: [0.9942397775089916, 0.0021756078062872383]
dice coefficient: [0.9649758759397892, 0.008572400049867998]
hausdorff distance: [4.036275669071384, 2.5511720293352127]

sensitivity: [0.9812496705764334, 0.02668237181362769]
specificity: [0.9555687709779815, 0.019046808732556507]
dice coefficient: [0.7339786423321658, 0.0800008172404183]
hausdorff distance: [43.8422885046841, 12.009180044395675]

sensitivity: [0.9828033141204796, 0.03447596752488107]
specificity: [0.9825499843390573, 0.0024639700152014644]
dice coefficient: [0.9299896608960753, 0.020687450210333067]
hausdorff distance: [3.4938962778494433, 2.307817612586214]

sensitivity: [0.9399757600796259, 0.08689194536749797]
specificity: [0.987190291722636, 0.0018040929746476265]
dice coefficient: [0.9171431253085168, 0.04628270411374912]
hausdorff distance: [6.073705350948302, 5.730919354099767]

sensitivity: [0.9581704531523343, 0.04680879584885859]
specificity: [0.9800397709925044, 0.004973780186808693]
dice coefficient: [0.9267508845987957, 0.030084972654381047]
hausdorff distance: [4.716542228399405, 2.9923618443839946]

sensitivity: [0.9804895955560042, 0.023346925421769332]
specificity: [0.9845295467849592, 0.007757057724798484]
dice coefficient: [0.9389982394093418, 0.033539816099044426]
hausdorff distance: [17.497915018197865, 16.975167255413396]

sensitivity: [0.9620174731240214, 0.07010364225878105]
specificity: [0.9815489409231698, 0.009898179192314985]
dice coefficient: [0.9209331937168539, 0.06191938376528176]
hausdorff distance: [23.66897575104083, 29.01975626298932]

sensitivity: [0.9697314808858846, 0.025303257632978478]
specificity: [0.9974781415888613, 0.001349228583411324]
dice coefficient: [0.9701478044547996, 0.007059785153434418]
hausdorff distance: [1.6298372176539269, 0.5262736714708791]

