specificity: [0.9874076601323056, 0.005400257116644786]
dice coefficient: [0.9229456842393762, 0.02316685579783128]
hausdorff distance: [11.3057808042468, 11.836919098298258]

sensitivity: [0.8873344325991825, 0.12056171874916752]
specificity: [0.9871873562506172, 0.010346704548486662]
dice coefficient: [0.8671567786535463, 0.10661501032613832]
hausdorff distance: [41.85622867356064, 40.88303789951606]

sensitivity: [0.9595667293512359, 0.027188413582933876]
specificity: [0.9930540038851542, 0.0035279204808640234]
dice coefficient: [0.9521662075637626, 0.020935736570944753]
hausdorff distance: [2.9049513501160007, 2.0069689385054987]

sensitivity: [0.9924878644046504, 0.010247992938143357]
specificity: [0.9903799863936397, 0.0061448490989578575]
dice coefficient: [0.9440409532922479, 0.034019063505511864]
hausdorff distance: [2.017332190449676, 1.1241459721534592]

sensitivity: [0.9750677827263724, 0.02390779210098048]
specificity: [0.9839151652855538, 0.0028610927216896087]
dice coefficient: [0.9355633596817634, 0.017860350742897553]
hausdorff distance: [10.313715787500776, 17.09075578555038]

sensitivity: [0.943139316797821, 0.09966309108380754]
specificity: [0.9784366866015763, 0.01609590411568162]
dice coefficient: [0.8377086046925158, 0.12941933756975754]
hausdorff distance: [35.25268993052618, 23.67166772033983]

sensitivity: [0.9710328519282627, 0.02874847862834488]
specificity: [0.9904912602803283, 0.0025638893807538514]
dice coefficient: [0.9326674267001184, 0.021934340448523118]
hausdorff distance: [7.0156901061610215, 14.866520294529167]

sensitivity: [0.995828062265741, 0.00649145643203876]
specificity: [0.9921633464931195, 0.0019775416700561653]
dice coefficient: [0.9605141256876676, 0.00899053183491384]
hausdorff distance: [2.213046524314944, 0.6075292156630916]

sensitivity: [0.9893007832602535, 0.02820953410737194]
specificity: [0.9710894931857832, 0.01530531253126357]
dice coefficient: [0.8919903616209763, 0.0516447274671701]
hausdorff distance: [31.22132666130941, 25.718905397414247]

sensitivity: [0.9638152460135746, 0.10036377653762145]
specificity: [0.9931669864913715, 0.0029824808019790292]
dice coefficient: [0.9315314819458134, 0.06570522583888057]
hausdorff distance: [4.77600315310002, 9.873692008644927]

sensitivity: [0.9649114216926277, 0.03822388515589455]
specificity: [0.9959364930067032, 0.0028438212066640186]
dice coefficient: [0.9611679392382604, 0.01124906907572907]
