specificity: [0.9900630775507667, 0.007138260731778512]
dice coefficient: [0.9373582375787207, 0.033223091476627886]
hausdorff distance: [9.105257857060575, 13.49299618406169]

sensitivity: [0.9219769497989916, 0.08405754730999723]
specificity: [0.9869512446256548, 0.01268081125887285]
dice coefficient: [0.8870119520127264, 0.09033220912346607]
hausdorff distance: [28.064407274952497, 37.07769829658065]

sensitivity: [0.9579020720076403, 0.028812975781464592]
specificity: [0.9938168632390795, 0.0018856746782302065]
dice coefficient: [0.9535663448668152, 0.01823329702711871]
hausdorff distance: [3.4454001728968024, 2.441833528710755]

sensitivity: [0.9888391565837247, 0.015751705001076255]
specificity: [0.9914285957950104, 0.004285678577338315]
dice coefficient: [0.9468386541570543, 0.02621126077990688]
hausdorff distance: [2.4121686060663916, 0.9737090338362829]

sensitivity: [0.9455398376024038, 0.05566376221182301]
specificity: [0.9847536188293873, 0.008993192105575339]
dice coefficient: [0.922907304924431, 0.04549745092835207]
hausdorff distance: [22.424077288044106, 27.73795398210109]

sensitivity: [0.9407922372033617, 0.11152623926698708]
specificity: [0.9719522736941004, 0.021553577295402252]
dice coefficient: [0.8080215288821826, 0.15058220982884155]
hausdorff distance: [35.4157128218721, 25.759670390981675]

sensitivity: [0.9602931645694408, 0.049340996983059965]
specificity: [0.9925232745724377, 0.001981983203130807]
dice coefficient: [0.9377058329166649, 0.023492379535208777]
hausdorff distance: [2.781519371228252, 1.7501857008563377]

sensitivity: [0.9929372305009548, 0.011531044484899477]
specificity: [0.9938504433549087, 0.0018258406971840906]
dice coefficient: [0.966874428596644, 0.005814887829145162]
hausdorff distance: [1.8649374038050903, 0.47117775827040936]

sensitivity: [0.9832801829761506, 0.023924751675608348]
specificity: [0.9799979984239413, 0.01458805631743132]
dice coefficient: [0.9175233600248519, 0.0586530945920114]
hausdorff distance: [21.805597207464288, 25.56526152990601]

sensitivity: [0.9829800762453224, 0.027719890504319916]
specificity: [0.9940538327047524, 0.0017314117903777552]
dice coefficient: [0.9496060897169242, 0.012585881440782867]
hausdorff distance: [1.7561117241617952, 0.7412185545403052]

sensitivity: [0.9714368631078825, 0.03174281298652701]
specificity: [0.9953723895399025, 0.004407287102141546]
dice coefficient: [0.9627567388208035, 0.014382556193812174]
hausdorff distance: [4.003520247027955, 7.867983157389862]

sensitivity: [0.9656041034577084, 0.020303298880855927]
specificity: [0.9986580859098917, 0.0011209314672282994]
dice coefficient: [0.9781138353677196, 0.00790124724428469]
hausdorff distance: [1.4242640687119283, 0.4879943946838013]

sensitivity: [0.9850464633388465, 0.023538252889360237]
specificity: [0.9819459329298855, 0.013595288265903145]
dice coefficient: [0.9049369816072123, 0.06442999711855099]
hausdorff distance: [7.857275994780769, 12.985756836184345]

sensitivity: [0.9661739621467578, 0.04276940076509239]
specificity: [0.9914823533369936, 0.004638990759084263]
dice coefficient: [0.9389795153028417, 0.036719675771553134]
hausdorff distance: [3.1425902479786365, 2.271004153814543]

sensitivity: [0.9850168693870754, 0.021603889041229823]
specificity: [0.9916941661012936, 0.004089373453728327]
dice coefficient: [0.9574875356854082, 0.00876641354972738]
hausdorff distance: [2.1670144370676825, 0.3706504591573663]

sensitivity: [0.9828043756249917, 0.014688634198772461]
specificity: [0.9953254125228738, 0.0013052910066430447]
dice coefficient: [0.9580644107738555, 0.013237942115718934]
hausdorff distance: [2.4965761953189487, 0.707418288072973]

sensitivity: [0.9773167495513685, 0.01819401475709803]
specificity: [0.9918584088311367, 0.002313124353423519]
dice coefficient: [0.9575206323321981, 0.012727055850681106]
hausdorff distance: [2.463248844831675, 0.795239038550936]

sensitivity: [0.9391849480335908, 0.09287801917270146]
specificity: [0.9940486305190869, 0.0028900671113530514]
dice coefficient: [0.9459426130040655, 0.05395403946569252]
hausdorff distance: [4.204528960528166, 5.884040807139252]

sensitivity: [0.9294329351343531, 0.14674129167087302]
specificity: [0.9888853543068373, 0.008269130606645627]
