dice coefficient: [0.9121221473181433, 0.03985970648718186]
hausdorff distance: [9.275158037467305, 6.3904702523892825]

sensitivity: [0.8931814287089247, 0.12761356496941348]
specificity: [0.9892072559236957, 0.006673127647804664]
dice coefficient: [0.878287354168691, 0.09453377570867655]
hausdorff distance: [30.652634191259082, 37.90491635399716]

sensitivity: [0.9286935744794153, 0.07865968135446384]
specificity: [0.9929274956418989, 0.0010752600646479196]
dice coefficient: [0.9334947773926813, 0.04446379814950151]
hausdorff distance: [7.947364185362168, 11.05016149981028]

sensitivity: [0.9934012556867379, 0.014445637784131932]
specificity: [0.9891385263546384, 0.004063442523714354]
dice coefficient: [0.9373899209668789, 0.024924823839908156]
hausdorff distance: [4.496317950653372, 12.303784982135872]

sensitivity: [0.9445318278277648, 0.05345994432285099]
specificity: [0.9884140586777266, 0.003921857931362773]
dice coefficient: [0.9327692582456509, 0.03326297496039857]
hausdorff distance: [15.372731993982018, 20.191065128942594]

sensitivity: [0.9500849814670749, 0.1083119546323367]
specificity: [0.9672043354327965, 0.021392745211446698]
dice coefficient: [0.7864827970645931, 0.13411169303501522]
hausdorff distance: [36.49862560797366, 27.65170872469974]

sensitivity: [0.9737487273588514, 0.029777801483871977]
specificity: [0.9889923833517131, 0.004002726387101814]
dice coefficient: [0.9261266833370445, 0.03351823698997502]
hausdorff distance: [3.331504989622275, 2.5562487823870383]

sensitivity: [0.9905348253644044, 0.01461201371843608]
specificity: [0.9905172896395946, 0.007481485216239841]
dice coefficient: [0.952071101204575, 0.030777400940026664]
hausdorff distance: [5.29745568542999, 10.140856140430426]

sensitivity: [0.9890188542857786, 0.0295614034628716]
specificity: [0.981553251314562, 0.006082962170344994]
dice coefficient: [0.9238647513043191, 0.033178658280101705]
hausdorff distance: [6.654248496653834, 4.24511212393503]

sensitivity: [0.924029359745514, 0.17226879480542112]
specificity: [0.9929793927277373, 0.0018746342821833709]
dice coefficient: [0.902153547645412, 0.10903056853617314]
hausdorff distance: [5.089847344056124, 8.5338612214834]

sensitivity: [0.9534919953764013, 0.045319021923650636]
specificity: [0.9967323082570666, 0.0022447697724337786]
dice coefficient: [0.9588126716590458, 0.01599486931121708]
hausdorff distance: [2.3605021478270585, 0.7033464841530878]

sensitivity: [0.9787379503576997, 0.018310107866812825]
specificity: [0.9970867559854939, 0.0018132498203516003]
dice coefficient: [0.9803032835024473, 0.005117241888150779]
hausdorff distance: [1.1714045207910317, 0.24727470959171458]

sensitivity: [0.9910156449694855, 0.02079737190448478]
specificity: [0.9800250765765135, 0.011678855367762803]
dice coefficient: [0.8966452962277363, 0.05838386630503942]
hausdorff distance: [13.951370225996998, 22.373181910876344]

sensitivity: [0.9790269609444786, 0.022741233028422743]
specificity: [0.9879792504783322, 0.004965631006859759]
dice coefficient: [0.9291576616873428, 0.03309143051193603]
hausdorff distance: [2.978244236938497, 1.459472940873735]

sensitivity: [0.9930651647767353, 0.01252278483278859]
specificity: [0.9856713987490637, 0.009525251106332733]
dice coefficient: [0.9393199693404453, 0.030113606213421736]
hausdorff distance: [16.843067257175086, 29.09429071204423]

sensitivity: [0.9835523073233097, 0.012261842284868433]
specificity: [0.994902631007262, 0.001790141650300499]
dice coefficient: [0.9559953445339896, 0.017027515165625163]
hausdorff distance: [2.560189555358952, 0.882475367341356]

sensitivity: [0.9643771944091015, 0.03610987673467708]
specificity: [0.9895260717660158, 0.005409897213353817]
dice coefficient: [0.9433208633461475, 0.022159928637905266]
hausdorff distance: [3.4698158214040755, 1.4698224945665914]

sensitivity: [0.9715447315071987, 0.04220703578723436]
specificity: [0.9898233813792675, 0.0038830292594742508]
dice coefficient: [0.9509657420387803, 0.026823269634743453]
hausdorff distance: [2.9314541123533044, 2.471148880008427]

sensitivity: [0.8909189339984169, 0.17162127162981164]
specificity: [0.9831919390895355, 0.012795519238549475]
dice coefficient: [0.8641957759604163, 0.13563802998093402]
hausdorff distance: [30.067812649994803, 24.91773081786299]

sensitivity: [0.9730206513280479, 0.05656971484562628]
specificity: [0.9950966236011328, 0.0028211201175444467]
dice coefficient: [0.9266361542921734, 0.03613570449817854]
hausdorff distance: [2.499736722282995, 1.717939556349369]

sensitivity: [0.8540219845030276, 0.1733121990575647]
specificity: [0.9918472341156856, 0.004005759777731103]
dice coefficient: [0.8760928148207571, 0.10431797525550246]
hausdorff distance: [12.634133738645728, 18.122141098869836]

sensitivity: [0.9371115250338751, 0.06397172189747007]
specificity: [0.9947391532428462, 0.0033642882986227103]
dice coefficient: [0.9457305228667702, 0.03654393958359654]
hausdorff distance: [12.291953381781095, 16.91472382452993]

sensitivity: [0.9686647235483465, 0.03385706991189585]
specificity: [0.9820698755516487, 0.016414011598106883]
dice coefficient: [0.9238956376742855, 0.06407158172214548]
hausdorff distance: [6.777371091710361, 5.455936316091742]

sensitivity: [0.960838306322177, 0.0782361177591432]
specificity: [0.9903037745771223, 0.002287160788035794]
dice coefficient: [0.9441865303298493, 0.04386961482008419]
hausdorff distance: [2.844629326338341, 2.4237884937433267]

sensitivity: [0.8982190956166026, 0.06388206820864957]
specificity: [0.9887000280922169, 0.006318412812183587]
dice coefficient: [0.9091492367334681, 0.048558485923125665]
hausdorff distance: [6.08552294147049, 2.6140155308457937]

sensitivity: [0.9917520509117838, 0.02069073445043813]
specificity: [0.9960226064067871, 0.0009256028529073387]
dice coefficient: [0.9404649400094497, 0.016501281112441066]
hausdorff distance: [3.8178669040368174, 7.306884354478794]

sensitivity: [0.9976942933087469, 0.004348346199721704]
specificity: [0.989005790404338, 0.004215728080211851]
dice coefficient: [0.9489095130838167, 0.016716368586493516]
hausdorff distance: [2.6362865463278413, 1.848420924009866]

sensitivity: [0.9801536537936202, 0.04086543004480467]
specificity: [0.9866485768579935, 0.009413377040289073]
dice coefficient: [0.9344446447213374, 0.04008707419211588]
hausdorff distance: [23.37012270391038, 26.521136818347475]

sensitivity: [0.9164264786404895, 0.1327647778676683]
specificity: [0.9892722243826211, 0.01758755778407163]
dice coefficient: [0.8824991883299321, 0.1493004836062535]
hausdorff distance: [16.349182517591743, 28.32026773072257]

sensitivity: [0.980685206378592, 0.027321647974649]
specificity: [0.9878001069210527, 0.005735067331606322]
dice coefficient: [0.9260059310967693, 0.03414976413457642]
hausdorff distance: [5.806031058735241, 4.07717263288361]

sensitivity: [0.8585493329634563, 0.1291877544087513]
specificity: [0.9918132412920623, 0.006773548953853396]
dice coefficient: [0.8892759664263724, 0.07602580350310208]
