dice coefficient: [0.9096836289007003, 0.037201868695454714]
hausdorff distance: [10.087361186057967, 11.079040766330415]

sensitivity: [0.8847156214430488, 0.14425266367897494]
specificity: [0.9834371818282136, 0.010585288720935705]
dice coefficient: [0.8439559429432789, 0.10901450072532123]
hausdorff distance: [36.32400720720134, 38.13222391116449]

sensitivity: [0.9489858151307415, 0.04436729671466671]
specificity: [0.9873045856366603, 0.002631537580047537]
dice coefficient: [0.924366246999457, 0.025498325237130914]
hausdorff distance: [67.69639138139449, 23.50103389081118]

sensitivity: [0.993912340304328, 0.010240158899154007]
specificity: [0.9869854013436186, 0.008583143040249043]
dice coefficient: [0.9281008705479149, 0.03911574357345181]
hausdorff distance: [8.768493188964662, 19.65655600205049]

sensitivity: [0.9568427162614622, 0.052241153555606296]
specificity: [0.9828423665667267, 0.006346223886789809]
dice coefficient: [0.922992851622052, 0.03535216520907185]
hausdorff distance: [15.591653764446814, 22.294251865064783]

sensitivity: [0.9311674271725275, 0.12408506659469809]
specificity: [0.9848842021470335, 0.006549407097411705]
dice coefficient: [0.8599264675144933, 0.0878435710923867]
hausdorff distance: [21.732124459819428, 22.857852767256702]

sensitivity: [0.9288488594152001, 0.10721702554717756]
specificity: [0.9893194106488352, 0.0029536029325600665]
dice coefficient: [0.9023247371250708, 0.058140431231645716]
hausdorff distance: [4.6827706312051225, 4.147890132206506]

sensitivity: [0.9915576858401987, 0.012522559215749303]
specificity: [0.9906752859227544, 0.0028781171898290014]
dice coefficient: [0.9516296290105255, 0.009810571904321717]
hausdorff distance: [3.086004911632834, 1.5947540098851263]

sensitivity: [0.9840902895409466, 0.03324230751030043]
specificity: [0.9791188872055494, 0.011546080509984145]
dice coefficient: [0.914497318319746, 0.048642859677579454]
hausdorff distance: [13.247693165382392, 19.002595238437316]

sensitivity: [0.9495860110157862, 0.1405290048618306]
specificity: [0.9904349370412224, 0.0023414574142231258]
dice coefficient: [0.903524314423958, 0.08670352607566885]
hausdorff distance: [4.63554368022722, 6.711562271337341]

sensitivity: [0.9790355286922361, 0.018840954811236765]
specificity: [0.9927786853523242, 0.00349772599707885]
dice coefficient: [0.9531734746456559, 0.011600851759298888]
hausdorff distance: [4.907204683904355, 8.361778649920552]

sensitivity: [0.9813688517851908, 0.0129014478144871]
specificity: [0.9947656969832195, 0.0020323526823480664]
dice coefficient: [0.9748814805919398, 0.005277297564871584]
hausdorff distance: [1.6692370772881555, 0.616696235170251]

sensitivity: [0.9696382670951839, 0.051087914407318635]
specificity: [0.9823990014379708, 0.009538328827543996]
dice coefficient: [0.8966186370111099, 0.062187324099756976]
hausdorff distance: [4.724042739527161, 4.529542308937411]

sensitivity: [0.9619260225737069, 0.05077543817603326]
specificity: [0.9892629259485651, 0.002442723674865699]
dice coefficient: [0.9254255643160758, 0.03533617197944034]
